index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred
833,attribute_comparison,surface_tension_and_temperature,Liam was washing the clothes with soap and detergents and observed that the soap water did not soak well into the pores and soiled areas. So Liam changed the temperature of the water and was able to wash properly. The temperature of water in the first case is 34 units.,Surface tension is inversely proportional to the temperature.,"{'question_text': 'What could be the temperature of water for the second case?', 'options': [{'A': 36}, {'B': 35}, {'C': 37}, {'D': 34}, {'E': 'None'}], 'value_answer': [36, 35, 37], 'option_answer': ['A', 'B', 'C'], 'other': {'given_value': 34, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the temperature of water for the second case?,"[{'A': 36}, {'B': 35}, {'C': 37}, {'D': 34}, {'E': 'None'}]","[36, 35, 37]","['A', 'B', 'C']",Sivapriya,'C': 37
1355,non_numerical_sg,tailor,Jameson had a family function for which he wanted some get some new clothes. So he decided to get them stitched. He went to a shop for this work.,Job of a tailor is to stitch clothes,"{'question_text': ""He could have gone to who's shop"", 'options': [{'A': 'Tailor'}, {'B': 'Cobbler'}, {'C': 'Mechanic'}, {'D': 'None'}], 'value_answer': ['Tailor'], 'option_answer': ['A'], 'other': {}}",He could have gone to who's shop,"[{'A': 'Tailor'}, {'B': 'Cobbler'}, {'C': 'Mechanic'}, {'D': 'None'}]",['Tailor'],['A'],Sidharth,A
1436,non_numerical,spider,Lucas saw an animal in a cage. The animal was moving around in the cage using its 8 legs.,"Animals like spider, scorpion and tick have 8 legs.","{'question_text': 'What could the animal be?', 'options': [{'A': 'spider'}, {'B': 'dog'}, {'C': 'scorpion'}, {'D': 'cat'}], 'value_answer': ['spider', 'scorpion'], 'option_answer': ['A', 'C'], 'other': {}}",What could the animal be?,"[{'A': 'spider'}, {'B': 'dog'}, {'C': 'scorpion'}, {'D': 'cat'}]","['spider', 'scorpion']","['A', 'C']",Saurabh,"A, C"
1225,non_numerical,traffic_sense,When John was motorbiking to his office he saw a signal and slowed down his bike.,"Vehicle should start at green light, halt at red lights, and slow down at yellow lights.","{'question_text': 'What was the color that was flashed by the signal?', 'options': [{'A': 'Red'}, {'B': 'Green'}, {'C': 'Yellow'}, {'D': 'Blue'}], 'value_answer': ['Yellow'], 'option_answer': ['C'], 'other': {}}",What was the color that was flashed by the signal?,"[{'A': 'Red'}, {'B': 'Green'}, {'C': 'Yellow'}, {'D': 'Blue'}]",['Yellow'],['C'],Kevin,C
1267,non_numerical,gas_balloon,Finn's birthday is in two days and she wants balloons that rise up in her birthday party.,"A gas balloon is a balloon that rises and floats in the air because it is filled with a gas lighter than air like helium, hydrogen, and neon.","{'question_text': 'What could be the gas used in the gas balloons?', 'options': [{'A': 'helium'}, {'B': 'hydrogen'}, {'C': 'oxygen'}, {'D': 'neon'}], 'value_answer': ['helium', 'hydrogen', 'neon'], 'option_answer': ['A', 'B', 'D'], 'other': {}}",What could be the gas used in the gas balloons?,"[{'A': 'helium'}, {'B': 'hydrogen'}, {'C': 'oxygen'}, {'D': 'neon'}]","['helium', 'hydrogen', 'neon']","['A', 'B', 'D']",Yamini,"A, D"
1219,non_numerical,amphibians,"To attend a party that Charles was invited to, he could not wear his new shoes when he tried to put it on.",One cannot wear shoes that are smaller than their feet.,"{'question_text': 'Who could have been the issue faced by Charles with his shoe?', 'options': [{'A': 'Larger size'}, {'B': 'Smaller size'}, {'C': 'Torn'}, {'D': 'None'}], 'value_answer': ['Smaller size'], 'option_answer': ['B'], 'other': {}}",Who could have been the issue faced by Charles with his shoe?,"[{'A': 'Larger size'}, {'B': 'Smaller size'}, {'C': 'Torn'}, {'D': 'None'}]",['Smaller size'],['B'],Kevin,B
1239,non_numerical,voice_and_distance,Kevin called out his friend's name loudly to invite him over to the ground to play a match of cricket.,Human voice can be heard only upto a limited distance.,"{'question_text': ""Where could Kevin's friend be residing?"", 'options': [{'A': 'Same house'}, {'B': 'Same building'}, {'C': 'Another city'}, {'D': 'Another country'}], 'value_answer': ['Same house', 'Same building'], 'option_answer': ['A', 'B'], 'other': {}}",Where could Kevin's friend be residing?,"[{'A': 'Same house'}, {'B': 'Same building'}, {'C': 'Another city'}, {'D': 'Another country'}]","['Same house', 'Same building']","['A', 'B']",Kevin,B
133,attribute_comparison,portion,"Adriel like to eat a lot of junk food. One day, he went out to eat junk food with his friends which had 24 units of calories.",A portion of an object is less than the whole object,"{'question_text': 'How many calories Adriel could have consumed?', 'options': [{'A': 22}, {'B': 18}, {'C': 15}, {'D': 25}, {'E': 'None'}], 'value_answer': [22, 18, 15], 'option_answer': ['A', 'B', 'C'], 'other': {'given_value': 24, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many calories Adriel could have consumed?,"[{'A': 22}, {'B': 18}, {'C': 15}, {'D': 25}, {'E': 'None'}]","[22, 18, 15]","['A', 'B', 'C']",Neeraj,D
665,attribute_comparison,bad_tyre_2,"Isaac has two tyres of bicycle, one of them has travelled 241 miles and is which is in better condition than the other .",Condition of tyres is inversely proportional to distance travelled by the tyre.,"{'question_text': 'What could be the distance travelled by the other tyre?', 'options': [{'A': 258}, {'B': 231}, {'C': 246}, {'D': 249}, {'E': 'None'}], 'value_answer': [258, 246, 249], 'option_answer': ['A', 'C', 'D'], 'other': {'given_value': 241, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the distance travelled by the other tyre?,"[{'A': 258}, {'B': 231}, {'C': 246}, {'D': 249}, {'E': 'None'}]","[258, 246, 249]","['A', 'C', 'D']",Sidharth,B
443,attribute_comparison,speed_and_time,Two colleague going were going to office. One of the person was travelling using bike and the other person was using city bus. The bus which took less time was travelling with the speed of 48 minutes to reach to the office.,Time taken is inversely proportional to speed,"{'question_text': 'What could be the speed of the bike ?', 'options': [{'A': 44}, {'B': 45}, {'C': 52}, {'D': 47}, {'E': 'None'}], 'value_answer': [44, 45, 47], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 48, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the speed of the bike ?,"[{'A': 44}, {'B': 45}, {'C': 52}, {'D': 47}, {'E': 'None'}]","[44, 45, 47]","['A', 'B', 'D']",Saurabh,"C

The speed of the bike must be 52."
