category,subcategory,knowledge,premise,hypothesis,binary_classification_label,GPT2Pred
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Charlie has 622 dollars in his account. He wants to buy a bike.,The cost of the vehicle is 500. Charlie could buy the vehicle from his account.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Charlie has 622 dollars in his account. He wants to buy a bike.
Hypothesis: The cost of the vehicle is 500. Charlie could buy the vehicle from his account.
Result: Charlie"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Charlie has 622 dollars in his account. He wants to buy a bike.,The cost of the vehicle is 800. Charlie could buy the vehicle from his account.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Charlie has 622 dollars in his account. He wants to buy a bike.
Hypothesis: The cost of the vehicle is 800. Charlie could buy the vehicle from his account.
Result: Charlie"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Jackson wants to buy a sports car. He has 534 dollars in his bank account.,The cost of the vehicle is 500. Jackson could buy the vehicle from his account.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Jackson wants to buy a sports car. He has 534 dollars in his bank account.
Hypothesis: The cost of the vehicle is 500. Jackson could buy the vehicle from his account.
Result: Jackson"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Jackson wants to buy a sports car. He has 534 dollars in his bank account.,The cost of the vehicle is 700. Jackson could buy the vehicle from his account.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Jackson wants to buy a sports car. He has 534 dollars in his bank account.
Hypothesis: The cost of the vehicle is 700. Jackson could buy the vehicle from his account.
Result: Jackson"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 692 dollars. William wants to buy this bike.,William has 700 dollars in his account. William could buy the vehicle from his account.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Cost of a bike is 692 dollars. William wants to buy this bike.
Hypothesis: William has 700 dollars in his account. William could buy the vehicle from his account.
Result: William"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 692 dollars. William wants to buy this bike.,William has 550 dollars in his account. William could buy the vehicle from his account.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Cost of a bike is 692 dollars. William wants to buy this bike.
Hypothesis: William has 550 dollars in his account. William could buy the vehicle from his account.
Result: William"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 552 dollars. Nicolas wants to buy this bike.,Nicolas has 650 dollars in his account. Nicolas could buy the vehicle from his account.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Cost of a bike is 552 dollars. Nicolas wants to buy this bike.
Hypothesis: Nicolas has 650 dollars in his account. Nicolas could buy the vehicle from his account.
Result: Nicolas"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 552 dollars. Nicolas wants to buy this bike.,Nicolas has 450 dollars in his account. Nicolas could buy the vehicle from his account.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Cost of a bike is 552 dollars. Nicolas wants to buy this bike.
Hypothesis: Nicolas has 450 dollars in his account. Nicolas could buy the vehicle from his account.
Result: Nicolas"
attribute_comparison,age,Son's age would be less than that of the father,Cole is 72 years old.,Cole's son could be 22 years old.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Cole is 72 years old.
Hypothesis: Cole's son could be 22 years old.
Result: Cole"
attribute_comparison,age,Son's age would be less than that of the father,Cole is 72 years old.,Cole's son could be 97 years old.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Cole is 72 years old.
Hypothesis: Cole's son could be 97 years old.
Result: Cole"
attribute_comparison,age,Son's age would be less than that of the father,Andrew is 65 years old.,Andrew's son could be 15 years old.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Andrew is 65 years old.
Hypothesis: Andrew's son could be 15 years old.
Result: Andrew"
attribute_comparison,age,Son's age would be less than that of the father,Andrew is 65 years old.,Andrew's son could be 90 years old.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Andrew is 65 years old.
Hypothesis: Andrew's son could be 90 years old.
Result: Andrew"
attribute_comparison,age,Son's age would be less than that of the father,Jesse is 27 years old.,Jesse's father could be 75 years old.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Jesse is 27 years old.
Hypothesis: Jesse's father could be 75 years old.
Result: Jesse"
attribute_comparison,age,Son's age would be less than that of the father,Jesse is 27 years old.,Jesse's father could be 0 years old.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Jesse is 27 years old.
Hypothesis: Jesse's father could be 0 years old.
Result: Jesse"
attribute_comparison,age,Son's age would be less than that of the father,Gabriel is 31 years old.,Gabriel's father could be 75 years old.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Gabriel is 31 years old.
Hypothesis: Gabriel's father could be 75 years old.
Result: Gabriel"
attribute_comparison,age,Son's age would be less than that of the father,Gabriel is 31 years old.,Gabriel's father could be 25 years old.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Gabriel is 31 years old.
Hypothesis: Gabriel's father could be 25 years old.
Result: Gabriel"
attribute_comparison,age,Elder person has more age than a younger person,"Abraham has a brother who is older than him, the age of his brother is 26 years old.",Abraham could be 23 years old.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Premise: Abraham has a brother who is older than him, the age of his brother is 26 years old.
Hypothesis: Abraham could be 23 years old.
Result: Abraham"
