index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred
98,attribute_comparison,height_and_potential_energy,Jude's experiment is to observe the relationship between potential energy and height of two balls. The height of the ball with lower potential energy is 33 units.,Potential energy is directly proportional to the height,"{'question_text': 'What could be the height of the other ball?', 'options': [{'A': 31}, {'B': 28}, {'C': 29}, {'D': 37}], 'value_answer': [37], 'option_answer': ['D'], 'other': {'given_value': 33, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the height of the other ball?,"[{'A': 31}, {'B': 28}, {'C': 29}, {'D': 37}]",[37],['D'],Neeraj,[37]
15,attribute_comparison,area_and_resistance,Gabriel's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The resistance of the wire with larger area is 37 units.,Resistance is inversely proportional to the area of the metalic wire,"{'question_text': 'What could be the resistance of the other wire?', 'options': [{'A': 39}, {'B': 40}, {'C': 35}, {'D': 36}, {'E': 'None'}], 'value_answer': [39, 40], 'option_answer': ['A', 'B'], 'other': {'given_value': 37, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the resistance of the other wire?,"[{'A': 39}, {'B': 40}, {'C': 35}, {'D': 36}, {'E': 'None'}]","[39, 40]","['A', 'B']",Neeraj,"[35, 36]"
1084,implicit_numerical_knowledge,rainbow,David bought at least 4 shirts of each color of the rainbow.,Rainbow has severn colors,"{'question_text': 'How many shirts David could have bought in total?', 'options': [{'A': 32}, {'B': 27}, {'C': 30}, {'D': 25}], 'value_answer': [32, 30], 'option_answer': ['A', 'C'], 'other': {'given_value': 28, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",How many shirts David could have bought in total?,"[{'A': 32}, {'B': 27}, {'C': 30}, {'D': 25}]","[32, 30]","['A', 'C']",Neeraj,"[32, 30]"
1280,non_numerical,water_float,"When Jude was crossing a river, he threw an object into water which sunk.","Objects like apples, wood, and sponges are less dense than water and they will float in water. Many hollow things like empty bottles, balls, and balloons will also float. That's because air is less dense than water.","{'question_text': 'What could be the object?', 'options': [{'A': 'balloon'}, {'B': 'apple'}, {'C': 'coin'}, {'D': 'marble'}], 'value_answer': ['coin', 'marble'], 'option_answer': ['C', 'D'], 'other': {}}",What could be the object?,"[{'A': 'balloon'}, {'B': 'apple'}, {'C': 'coin'}, {'D': 'marble'}]","['coin', 'marble']","['C', 'D']",Yamini,"[{'A': 'balloon'}, {'C': 'coin'}]"
1080,implicit_numerical_knowledge,quarter,Christopher is collecting donation for underprivileged students. He only accepts quarters in the donation and failed to collect 12 dollars.,4 quarters make 1 dollar,"{'question_text': 'How many quarters could Christopher have collected?', 'options': [{'A': 59}, {'B': 38}, {'C': 37}, {'D': 42}], 'value_answer': [38, 37, 42], 'option_answer': ['B', 'C', 'D'], 'other': {'given_value': 48, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many quarters could Christopher have collected?,"[{'A': 59}, {'B': 38}, {'C': 37}, {'D': 42}]","[38, 37, 42]","['B', 'C', 'D']",Neeraj,"[59, 38, 37, 42]"
533,attribute_comparison,diffusion_and_temperature,"Eric loves drinking tea. He noticed that, when tea bags are dipped in hot water, the diffusion of tea particles was found to be different at two different temperature of hot water. The temperature at higher rate of diffusion is 270 K.","At higher temperatures, the rate at which fluid particles will diffuse is faster than at lower temperatures.","{'question_text': 'What could be the temperature of the other water?', 'options': [{'A': 270}, {'B': 276}, {'C': 274}, {'D': 261}, {'E': 'None'}], 'value_answer': [261], 'option_answer': ['D'], 'other': {'given_value': 270, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the temperature of the other water?,"[{'A': 270}, {'B': 276}, {'C': 274}, {'D': 261}, {'E': 'None'}]",[261],['D'],Yamini,"[270, 274]"
538,attribute_comparison,effusion_and_velocity,Gabriel brought a balloon from a birthday party and observed loss of gas inside a balloon over time. So he wants to understand the reason behind this effusion and has taken balloons with two different effusion rates and velocities. The rate of effusion of gas from the balloon when the velocity of gas particles is higher is 59 units.,The rate of effusion is directly proportional to velocity of particles.,"{'question_text': 'What could be the rate of effusion of gas from the other balloon?', 'options': [{'A': 52}, {'B': 64}, {'C': 55}, {'D': 65}], 'value_answer': [52, 55], 'option_answer': ['A', 'C'], 'other': {'given_value': 59, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the rate of effusion of gas from the other balloon?,"[{'A': 52}, {'B': 64}, {'C': 55}, {'D': 65}]","[52, 55]","['A', 'C']",Yamini,"[52, 55]"
1095,implicit_numerical_knowledge,square,"To protect the square garden of side length 14 units from invaders, Judah fenced some of the uncovered sides of his garden with wires.",A square has four sides of equal length,"{'question_text': 'What length wire could be used for fencing some portion without wastage?', 'options': [{'A': 56}, {'B': 57}, {'C': 50}, {'D': 61}], 'value_answer': [56, 50], 'option_answer': ['A', 'C'], 'other': {'given_value': 56, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",What length wire could be used for fencing some portion without wastage?,"[{'A': 56}, {'B': 57}, {'C': 50}, {'D': 61}]","[56, 50]","['A', 'C']",Neeraj,"[56, 57, 61]"
608,attribute_comparison,solubility_and_gas,Kayden wanted to know the solubility of two different gases at two different temperature. The temperature of a gas was 259 K when the solubility is higher.,The solubility of the gas in a solvent is inversely proportional to temperature.,"{'question_text': 'What could be the temperature of the other gas?', 'options': [{'A': 257}, {'B': 256}, {'C': 255}, {'D': 263}], 'value_answer': [263], 'option_answer': ['D'], 'other': {'given_value': 259, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the temperature of the other gas?,"[{'A': 257}, {'B': 256}, {'C': 255}, {'D': 263}]",[263],['D'],Yamini,"[257, 256, 255]"
1296,non_numericalSG,chair_balance,"Parker goes to a bank, but he had to wait because there were many people ahead of him, so decided to sit on the cair, but unfortunately he falls down as soon as he sits on the chair.",A chair balances on at least 3 legs.,"{'question_text': 'What could be the number of legs in it', 'options': [{'A': '4'}, {'B': '5'}, {'C': '1'}, {'D': '6'}], 'value_answer': ['1'], 'option_answer': ['C'], 'other': {}}",What could be the number of legs in it,"[{'A': '4'}, {'B': '5'}, {'C': '1'}, {'D': '6'}]",['1'],['C'],Sidharth,"[4, 5, 6]"
