category,subcategory,knowledge,premise,hypothesis,binary_classification_label,GPT2Pred
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Charlie has 622 dollars in his account. He wants to buy a bike.,The cost of the vehicle is 500. Charlie could buy the vehicle from his account.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: One can not withdraw more money than the amount in their bank account
Premise: Charlie has 622 dollars in his account. He wants to buy a bike.
Hypothesis: The cost of the vehicle is 500. Charlie could buy the vehicle from his account.
Result: Charlie has bought the vehicle from his account.
Theorem: The cost of the vehicle is 500. Charlie could buy the vehicle from his account."
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Charlie has 622 dollars in his account. He wants to buy a bike.,The cost of the vehicle is 800. Charlie could buy the vehicle from his account.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: One can not withdraw more money than the amount in their bank account
Premise: Charlie has 622 dollars in his account. He wants to buy a bike.
Hypothesis: The cost of the vehicle is 800. Charlie could buy the vehicle from his account.
Result: Charlie has bought the vehicle from his account.
Theorem: The cost of the vehicle is 800. Charlie could buy the vehicle from his account."
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Jackson wants to buy a sports car. He has 534 dollars in his bank account.,The cost of the vehicle is 500. Jackson could buy the vehicle from his account.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: One can not withdraw more money than the amount in their bank account
Premise: Jackson wants to buy a sports car. He has 534 dollars in his bank account.
Hypothesis: The cost of the vehicle is 500. Jackson could buy the vehicle from his account.
Result: Jackson has bought the car from his account.
Hypothesis: Jackson has bought the car from his account.
Hypothesis: Jackson has"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Jackson wants to buy a sports car. He has 534 dollars in his bank account.,The cost of the vehicle is 700. Jackson could buy the vehicle from his account.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: One can not withdraw more money than the amount in their bank account
Premise: Jackson wants to buy a sports car. He has 534 dollars in his bank account.
Hypothesis: The cost of the vehicle is 700. Jackson could buy the vehicle from his account.
Result: Jackson has bought the car from his account.
Hypothesis: Jackson has bought the car from his account.
Hypothesis: Jackson has"
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 692 dollars. William wants to buy this bike.,William has 700 dollars in his account. William could buy the vehicle from his account.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: One can not withdraw more money than the amount in their bank account
Premise: Cost of a bike is 692 dollars. William wants to buy this bike.
Hypothesis: William has 700 dollars in his account. William could buy the vehicle from his account.
Result: William has 700 dollars in his account. William could buy the vehicle from his account.
Hypothesis: William has 700 dollars in his account."
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 692 dollars. William wants to buy this bike.,William has 550 dollars in his account. William could buy the vehicle from his account.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: One can not withdraw more money than the amount in their bank account
Premise: Cost of a bike is 692 dollars. William wants to buy this bike.
Hypothesis: William has 550 dollars in his account. William could buy the vehicle from his account.
Result: William has 550 dollars in his account. William could buy the vehicle from his account.
Hypothesis: William has 550 dollars in his account."
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 552 dollars. Nicolas wants to buy this bike.,Nicolas has 650 dollars in his account. Nicolas could buy the vehicle from his account.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: One can not withdraw more money than the amount in their bank account
Premise: Cost of a bike is 552 dollars. Nicolas wants to buy this bike.
Hypothesis: Nicolas has 650 dollars in his account. Nicolas could buy the vehicle from his account.
Result: Nicolas has 650 dollars in his account. Nicolas could buy the vehicle from his account.
Hypothesis: Nicolas has 650 dollars in his account."
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 552 dollars. Nicolas wants to buy this bike.,Nicolas has 450 dollars in his account. Nicolas could buy the vehicle from his account.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: One can not withdraw more money than the amount in their bank account
Premise: Cost of a bike is 552 dollars. Nicolas wants to buy this bike.
Hypothesis: Nicolas has 450 dollars in his account. Nicolas could buy the vehicle from his account.
Result: Nicolas has 450 dollars in his account.
Hypothesis: Nicolas has 450 dollars in his account.
Hypothesis: Nicolas has 450 dollars"
attribute_comparison,age,Son's age would be less than that of the father,Cole is 72 years old.,Cole's son could be 22 years old.,True,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: Son's age would be less than that of the father
Premise: Cole is 72 years old.
Hypothesis: Cole's son could be 22 years old.
Result:
The hypothesis is True or False based on Knowledge and Premise:
Knowledge: Cole's son could be 22 years old.
Hypot"
attribute_comparison,age,Son's age would be less than that of the father,Cole is 72 years old.,Cole's son could be 97 years old.,False,"Validate the hypothesis as True or False based on Knowledge and Premise:
Knowledge: Son's age would be less than that of the father
Premise: Cole is 72 years old.
Hypothesis: Cole's son could be 97 years old.
Result:
The hypothesis is True or False based on Knowledge and Premise:
Knowledge: Cole's son could be 97 years old.
Hypot"
