category,subcategory,knowledge,premise,hypothesis,binary_classification_label,T5Pred,,,,
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Charlie has 622 dollars in his account. He wants to buy a bike.,The cost of the vehicle is 500. Charlie could buy the vehicle from his account.,TRUE,TRUE,1,,1642,0.505541872
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Charlie has 622 dollars in his account. He wants to buy a bike.,The cost of the vehicle is 800. Charlie could buy the vehicle from his account.,FALSE,TRUE,0,,,
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Jackson wants to buy a sports car. He has 534 dollars in his bank account.,The cost of the vehicle is 500. Jackson could buy the vehicle from his account.,TRUE,TRUE,1,,,
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Jackson wants to buy a sports car. He has 534 dollars in his bank account.,The cost of the vehicle is 700. Jackson could buy the vehicle from his account.,FALSE,TRUE,0,,,
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 692 dollars. William wants to buy this bike.,William has 700 dollars in his account. William could buy the vehicle from his account.,TRUE,TRUE,1,,,
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 692 dollars. William wants to buy this bike.,William has 550 dollars in his account. William could buy the vehicle from his account.,FALSE,TRUE,0,,,
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 552 dollars. Nicolas wants to buy this bike.,Nicolas has 650 dollars in his account. Nicolas could buy the vehicle from his account.,TRUE,TRUE,1,,,
attribute_comparison,account_balance,One can not withdraw more money than the amount in their bank account,Cost of a bike is 552 dollars. Nicolas wants to buy this bike.,Nicolas has 450 dollars in his account. Nicolas could buy the vehicle from his account.,FALSE,TRUE,0,,,
attribute_comparison,age,Son's age would be less than that of the father,Cole is 72 years old.,Cole's son could be 22 years old.,TRUE,TRUE,1,,,
attribute_comparison,age,Son's age would be less than that of the father,Cole is 72 years old.,Cole's son could be 97 years old.,FALSE,TRUE,0,,,
attribute_comparison,age,Son's age would be less than that of the father,Andrew is 65 years old.,Andrew's son could be 15 years old.,TRUE,TRUE,1,,,
attribute_comparison,age,Son's age would be less than that of the father,Andrew is 65 years old.,Andrew's son could be 90 years old.,FALSE,TRUE,0,,,
attribute_comparison,age,Son's age would be less than that of the father,Jesse is 27 years old.,Jesse's father could be 75 years old.,TRUE,TRUE,1,,,
attribute_comparison,age,Son's age would be less than that of the father,Jesse is 27 years old.,Jesse's father could be 0 years old.,FALSE,TRUE,0,,,
attribute_comparison,age,Son's age would be less than that of the father,Gabriel is 31 years old.,Gabriel's father could be 75 years old.,TRUE,TRUE,1,,,
attribute_comparison,age,Son's age would be less than that of the father,Gabriel is 31 years old.,Gabriel's father could be 25 years old.,FALSE,TRUE,0,,,
attribute_comparison,age,Elder person has more age than a younger person,"Abraham has a brother who is older than him, the age of his brother is 26 years old.",Abraham could be 23 years old.,TRUE,TRUE,1,,,
attribute_comparison,age,Elder person has more age than a younger person,"Abraham has a brother who is older than him, the age of his brother is 26 years old.",Abraham could be 33 years old.,FALSE,TRUE,0,,,
attribute_comparison,age,Elder person has more age than a younger person,"Bentley has a cousin who is older than him, the age of his cousin is 22 years old.",Bentley could be 12 years old.,TRUE,TRUE,1,,,
attribute_comparison,age,Elder person has more age than a younger person,"Bentley has a cousin who is older than him, the age of his cousin is 22 years old.",Bentley could be 24 years old.,FALSE,TRUE,0,,,
attribute_comparison,age,Elder person has more age than a younger person,Henry's younger sister is 47 years old.,Henry could be 54 years old.,TRUE,TRUE,1,,,
attribute_comparison,age,Elder person has more age than a younger person,Henry's younger sister is 47 years old.,Henry could be 41 years old.,FALSE,TRUE,0,,,
attribute_comparison,age,Elder person has more age than a younger person,Arthur's younger brother is 47 years old.,Arthur could be 49 years old.,TRUE,TRUE,1,,,
attribute_comparison,age,Elder person has more age than a younger person,Arthur's younger brother is 47 years old.,Arthur could be 42 years old.,FALSE,TRUE,0,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Victor's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The area of the wire with larger resistance is 32 units.,Area of the other wire could be 35 units.,TRUE,TRUE,1,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Victor's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The area of the wire with larger resistance is 32 units.,Area of the other wire could be 25 units.,FALSE,TRUE,0,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Brandon's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The area of the wire with larger resistance is 48 units.,Area of the other wire could be 54 units.,TRUE,TRUE,1,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Brandon's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The area of the wire with larger resistance is 48 units.,Area of the other wire could be 45 units.,FALSE,TRUE,0,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Oliver learns about the relation of resistance and area using two wires which are similar with different areas. 23 units is the resistance of wire which has larger area.,Resistance of the other wire could be 32 units.,TRUE,TRUE,1,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Oliver learns about the relation of resistance and area using two wires which are similar with different areas. 23 units is the resistance of wire which has larger area.,Resistance of the other wire could be 16 units.,FALSE,TRUE,0,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Gabriel's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The resistance of the wire with larger area is 37 units.,Resistance of the other wire could be 42 units.,TRUE,TRUE,1,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Gabriel's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The resistance of the wire with larger area is 37 units.,Resistance of the other wire could be 34 units.,FALSE,TRUE,0,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Isaac learns about the relation of resistance and area using two wires. 25 units is the area of wire which has smaller resistance.,Area of the other wire could be 24 units.,TRUE,TRUE,1,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Isaac learns about the relation of resistance and area using two wires. 25 units is the area of wire which has smaller resistance.,Area of the other wire could be 31 units.,FALSE,TRUE,0,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Maxwell learns about the relation of resistance and area using two wires. 31 units is the area of wire which has smaller resistance.,Area of the other wire could be 30 units.,TRUE,TRUE,1,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Maxwell learns about the relation of resistance and area using two wires. 31 units is the area of wire which has smaller resistance.,Area of the other wire could be 37 units.,FALSE,TRUE,0,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Victor's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The resistance of the wire with smaller area is 40 units.,Resistance of the other wire could be 32 units.,TRUE,TRUE,1,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Victor's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The resistance of the wire with smaller area is 40 units.,Resistance of the other wire could be 43 units.,FALSE,TRUE,0,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Julian's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The resistance of the wire with smaller area is 40 units.,Resistance of the other wire could be 38 units.,TRUE,TRUE,1,,,
attribute_comparison,area_and_resistance,Resistance is inversely proportional to the area of the metalic wire,Julian's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The resistance of the wire with smaller area is 40 units.,Resistance of the other wire could be 42 units.,FALSE,TRUE,0,,,
attribute_comparison,at_least,If each member contributes at least 1 then total would be more than the number of contributors,Jude hosted a birthday party in which 28 people came. Each person gave at least 1 gift to Jude.,Total number of gifts could be 36.,TRUE,TRUE,1,,,
attribute_comparison,at_least,If each member contributes at least 1 then total would be more than the number of contributors,Jude hosted a birthday party in which 28 people came. Each person gave at least 1 gift to Jude.,Total number of gifts could be 23.,FALSE,TRUE,0,,,
attribute_comparison,at_least,If each member contributes at least 1 then total would be more than the number of contributors,Gabriel and his wife threw an anniversary party to their family and friends. A total of 26 people came to their party who also brought atleast 1 gift.,Total number of gifts could be 26.,TRUE,TRUE,1,,,
attribute_comparison,at_least,If each member contributes at least 1 then total would be more than the number of contributors,Gabriel and his wife threw an anniversary party to their family and friends. A total of 26 people came to their party who also brought atleast 1 gift.,Total number of gifts could be 22.,FALSE,TRUE,0,,,
attribute_comparison,at_least,If each member contributes at least 1 then total would be more than the number of contributors,Kevin hosted a birthday party in which 44 people came. Only a few people brought a gift and none of them gave more than one gift.,Total number of gifts could be 43.,TRUE,TRUE,1,,,
attribute_comparison,at_least,If each member contributes at least 1 then total would be more than the number of contributors,Kevin hosted a birthday party in which 44 people came. Only a few people brought a gift and none of them gave more than one gift.,Total number of gifts could be 45.,FALSE,TRUE,0,,,
attribute_comparison,at_least,If each member contributes at least 1 then total would be more than the number of contributors,Robert and his wife threw an anniversary party to their family and friends. A total of 26 people were invited to their party. Robert wanted to buy atleast 1 chocolate for each person.,Robert can buy a total of 27 chocolates.,TRUE,TRUE,1,,,
