index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred
786,attribute_comparison,height_and_oxygen,Hudson is climbing a mountain where his saturation of oxyhemogobin before start is 90 units. Hudson is facing some breathing issues.,The effects of high altitude on humans decreases the saturation of oxyhemoglobin. ,"{'question_text': 'What could be the value of saturation of oxyhemoglobin?', 'options': [{'A': 89}, {'B': 90}, {'C': 88}, {'D': 92}], 'value_answer': [89, 88], 'option_answer': ['A', 'C'], 'other': {'given_value': 90, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the value of saturation of oxyhemoglobin?,"[{'A': 89}, {'B': 90}, {'C': 88}, {'D': 92}]","[89, 88]","['A', 'C']",Sivapriya,B
581,attribute_comparison,humidity_and_temperature,Adriel and his friend were living in two cities with different weather conditions such as temperature and relative humidity. The temperature at the city with lower relative humidity is 224 K.,Relative humidity is inversely proportional to temperature.,"{'question_text': 'What could be the relative humidty of the other city?', 'options': [{'A': 232}, {'B': 230}, {'C': 216}, {'D': 222}], 'value_answer': [216, 222], 'option_answer': ['C', 'D'], 'other': {'given_value': 224, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the relative humidty of the other city?,"[{'A': 232}, {'B': 230}, {'C': 216}, {'D': 222}]","[216, 222]","['C', 'D']",Yamini,C
741,attribute_comparison,angle_and_length,Calvin is asked to draw a triangle where the angle opposite to the largest side of that triangle is 55 units.,The angles of a triangle are in same relative order as that of their opposite sides length in a triangle.,"{'question_text': 'What could be the angle opposite to the other sides of that triangle?', 'options': [{'A': 51}, {'B': 54}, {'C': 53}, {'D': 52}], 'value_answer': [51, 54, 53, 52], 'option_answer': ['A', 'B', 'C', 'D'], 'other': {'given_value': 55, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the angle opposite to the other sides of that triangle?,"[{'A': 51}, {'B': 54}, {'C': 53}, {'D': 52}]","[51, 54, 53, 52]","['A', 'B', 'C', 'D']",Sivapriya,"C

The angle opposite to the largest side of the triangle is 55 units, so the other two angles must sum to 180 - 55, or 125 units. Angle C is the only one that could be the angle opposite to one of the other sides of the triangle."
743,attribute_comparison,angle_and_length,The length of the side of a scalene triangle opposite to the largest angle enclosed is 29 meters.,The angles of a triangle are in same relative order as that of their opposite sides length in a triangle.,"{'question_text': 'What could be the length of the side opposite to the other enclosed angles of that triangle?', 'options': [{'A': 28}, {'B': 32}, {'C': 29}, {'D': 24}, {'E': 'None'}], 'value_answer': [28, 24], 'option_answer': ['A', 'D'], 'other': {'given_value': 29, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the length of the side opposite to the other enclosed angles of that triangle?,"[{'A': 28}, {'B': 32}, {'C': 29}, {'D': 24}, {'E': 'None'}]","[28, 24]","['A', 'D']",Sivapriya,"A, B, C"
678,attribute_comparison,heat_length,"Daniel works for a construction firm, he noticed that there were two equal sized iron rods of same length. One of the iron rod was heated and its length increased as compared to the other rod. The length of the rod subjcted to heat became 2 metres.",A  expansion in length is directly proportional to the amount of heat.,"{'question_text': 'What could be the length of non heated rod?', 'options': [{'A': 3}, {'B': 4}, {'C': 2}, {'D': 0}, {'E': 'None'}], 'value_answer': [0], 'option_answer': ['D'], 'other': {'given_value': 2, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the length of non heated rod?,"[{'A': 3}, {'B': 4}, {'C': 2}, {'D': 0}, {'E': 'None'}]",[0],['D'],Sidharth,C
133,attribute_comparison,portion,"Adriel like to eat a lot of junk food. One day, he went out to eat junk food with his friends which had 24 units of calories.",A portion of an object is less than the whole object,"{'question_text': 'How many calories Adriel could have consumed?', 'options': [{'A': 22}, {'B': 18}, {'C': 15}, {'D': 25}, {'E': 'None'}], 'value_answer': [22, 18, 15], 'option_answer': ['A', 'B', 'C'], 'other': {'given_value': 24, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many calories Adriel could have consumed?,"[{'A': 22}, {'B': 18}, {'C': 15}, {'D': 25}, {'E': 'None'}]","[22, 18, 15]","['A', 'B', 'C']",Neeraj,D
1168,non_numerical,amphibians,Jack as part of his school lecture learnt that an animal can live on both land and water.,Amphibians are animals that can live on both land and water.,"{'question_text': 'Who could have been the animal that Jack learnt about?', 'options': [{'A': 'Turtle'}, {'B': 'Frog'}, {'C': 'Cow'}, {'D': 'Dog'}], 'value_answer': ['Turtle', 'Frog'], 'option_answer': ['A', 'B'], 'other': {}}",Who could have been the animal that Jack learnt about?,"[{'A': 'Turtle'}, {'B': 'Frog'}, {'C': 'Cow'}, {'D': 'Dog'}]","['Turtle', 'Frog']","['A', 'B']",Kevin,"A, B"
153,attribute_comparison,rafting_upstream,Michael participates in a boat racing competition. He first rows the boat in still water and takes 13 minutes to corss and then while coming back starts going upstream.,speed of the upstream river reduces the speed of the raft,"{'question_text': 'What could be the time taken to come back in upstream?', 'options': [{'A': 8}, {'B': 14}, {'C': 9}, {'D': 10}, {'E': 'None'}], 'value_answer': [14], 'option_answer': ['B'], 'other': {'given_value': 13, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the time taken to come back in upstream?,"[{'A': 8}, {'B': 14}, {'C': 9}, {'D': 10}, {'E': 'None'}]",[14],['B'],Neeraj,The correct option is C.
978,implicit_numerical_knowledge,alphabet,Teacher asked the students to write words in which each vowel appears at least once.,English alphabet has 5 vowels,"{'question_text': 'What could be the length of one such word?', 'options': [{'A': 8}, {'B': 1}, {'C': 2}, {'D': 7}, {'E': 'None'}], 'value_answer': [8, 7], 'option_answer': ['A', 'D'], 'other': {'given_value': 5, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",What could be the length of one such word?,"[{'A': 8}, {'B': 1}, {'C': 2}, {'D': 7}, {'E': 'None'}]","[8, 7]","['A', 'D']",Neeraj,"C, D"
194,attribute_comparison,addition_knowledge,William has a barrel of oil and his friend has another barrel which is smaller than William's barrel. The contents of both were emptied to a container and the total volume of oil in that was 69 units.,The operands are smaller than the sum of operands.,"{'question_text': ""What could have been the volume of liquid in William's barrel?"", 'options': [{'A': 41}, {'B': 58}, {'C': 32}, {'D': 66}, {'E': 'None'}], 'value_answer': [41, 58, 32, 66], 'option_answer': ['A', 'B', 'C', 'D'], 'other': {'given_value': 69, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could have been the volume of liquid in William's barrel?,"[{'A': 41}, {'B': 58}, {'C': 32}, {'D': 66}, {'E': 'None'}]","[41, 58, 32, 66]","['A', 'B', 'C', 'D']",Kevin,"A, B, D"
1532,non_numerical,wood_and_termites,Alan has a beautiful wooden house but it was damaged due to insects.,Termites can chew the wood and destroy anything that is made of wood.,"{'question_text': 'What could be the insect?', 'options': [{'A': 'Ants'}, {'B': 'Bed Bugs'}, {'C': 'Lice'}, {'D': 'Termites'}], 'value_answer': ['Termites'], 'option_answer': ['D'], 'other': {}}",What could be the insect?,"[{'A': 'Ants'}, {'B': 'Bed Bugs'}, {'C': 'Lice'}, {'D': 'Termites'}]",['Termites'],['D'],Sivapriya,D
668,attribute_comparison,battery_time,Jaxon is testing on screen time of two mobile. The mobile with lower on screen time has a battery of 2348 mAh. ,Mobile on screen time is directly proportional to it's battery capacity.,"{'question_text': 'What could be the battery capacity of other device?', 'options': [{'A': 2344}, {'B': 2351}, {'C': 2332}, {'D': 2330}], 'value_answer': [2351], 'option_answer': ['B'], 'other': {'given_value': 2348, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the battery capacity of other device?,"[{'A': 2344}, {'B': 2351}, {'C': 2332}, {'D': 2330}]",[2351],['B'],Sidharth,B
406,attribute_comparison,projectile_angle_height,Parker and his sister are trying to pick mangoes from a tree by throwing stones. Parker threw a stone that reached higher height had projection angle of 36 degrees.,Maximum height reached by an object is directly proportional to the projectile angle at which it is thrown if the initial velocity is constant.,"{'question_text': ""What could be the maximum projection angle from which the stone is thrown by Parker's sister?"", 'options': [{'A': 39}, {'B': 36}, {'C': 35}, {'D': 31}, {'E': 'None'}], 'value_answer': [35, 31], 'option_answer': ['C', 'D'], 'other': {'given_value': 36, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the maximum projection angle from which the stone is thrown by Parker's sister?,"[{'A': 39}, {'B': 36}, {'C': 35}, {'D': 31}, {'E': 'None'}]","[35, 31]","['C', 'D']",Saurabh,"A, B, C, D"
827,attribute_comparison,strain_and_stress,Adriel subjected two balls with stress and more stress was applied to the first ball. The strain developed in the first ball is 35 units.,The strain developed in an object is directly proportional to the stress applied.,"{'question_text': 'What could be the strain developed in the other ball?', 'options': [{'A': 39}, {'B': 37}, {'C': 30}, {'D': 31}], 'value_answer': [30, 31], 'option_answer': ['C', 'D'], 'other': {'given_value': 35, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the strain developed in the other ball?,"[{'A': 39}, {'B': 37}, {'C': 30}, {'D': 31}]","[30, 31]","['C', 'D']",Sivapriya,B
585,attribute_comparison,pitch_and_amplitude,Logan is working in an auditorium and is testing the pitch of sound at two different frequencies. The frequency of sound when pitch is higher is 41 Hertz.,The pitch of the sound is directly proportional to the frequency of the sound.,"{'question_text': 'What could be the frequency of the other sound?', 'options': [{'A': 33}, {'B': 32}, {'C': 41}, {'D': 45}], 'value_answer': [33, 32], 'option_answer': ['A', 'B'], 'other': {'given_value': 41, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the frequency of the other sound?,"[{'A': 33}, {'B': 32}, {'C': 41}, {'D': 45}]","[33, 32]","['A', 'B']",Yamini,C
526,attribute_comparison,diffusion_and_mass,Jayden is studying the graham's law by filling containers with different gases of different masses. The rate of diffusion of gas when mass is lower is 48 units.,The rate of diffusion is inversely proportional to the molar mass.,"{'question_text': 'What could be the rate of diffusion of the other gas?', 'options': [{'A': 54}, {'B': 41}, {'C': 47}, {'D': 43}, {'E': 'None'}], 'value_answer': [41, 47, 43], 'option_answer': ['B', 'C', 'D'], 'other': {'given_value': 48, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the rate of diffusion of the other gas?,"[{'A': 54}, {'B': 41}, {'C': 47}, {'D': 43}, {'E': 'None'}]","[41, 47, 43]","['B', 'C', 'D']",Yamini,C
164,attribute_comparison,teaching,There are 47 teachers in a school and a few administrative people.,Total staff is more than the teaching staff in a school,"{'question_text': 'What could be the total staff of the school?', 'options': [{'A': 50}, {'B': 39}, {'C': 44}, {'D': 53}], 'value_answer': [50, 53], 'option_answer': ['A', 'D'], 'other': {'given_value': 47, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the total staff of the school?,"[{'A': 50}, {'B': 39}, {'C': 44}, {'D': 53}]","[50, 53]","['A', 'D']",Neeraj,"A, C, D"
785,attribute_comparison,geometric_mean_and_harmonic_mean,Isaac's maths exercise is to calculate the Geometric mean and harmonic mean of a given series. The geometric mean is 41.,Geometric mean is greater than or equal to Harmonic mean.,"{'question_text': 'What could be the harmonic mean of the series?', 'options': [{'A': 36}, {'B': 38}, {'C': 39}, {'D': 40}, {'E': 'None'}], 'value_answer': [36, 38, 39, 40], 'option_answer': ['A', 'B', 'C', 'D'], 'other': {'given_value': 41, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",What could be the harmonic mean of the series?,"[{'A': 36}, {'B': 38}, {'C': 39}, {'D': 40}, {'E': 'None'}]","[36, 38, 39, 40]","['A', 'B', 'C', 'D']",Sivapriya,D
1601,implicit_numerical_knowledge,percent,Joshua spent 28 years in a finance company and then spent more than 50% this time in a technology company.,50% percent means half,"{'question_text': 'How many thousand dollars could be left with Joshua after spending on infrastructure?', 'options': [{'A': 17}, {'B': 11}, {'C': 16}, {'D': 14}, {'E': 'None'}], 'value_answer': [11], 'option_answer': ['B'], 'other': {'given_value': 14, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",How many thousand dollars could be left with Joshua after spending on infrastructure?,"[{'A': 17}, {'B': 11}, {'C': 16}, {'D': 14}, {'E': 'None'}]",[11],['B'],Neeraj,"A, C, D"
1229,non_numerical,traffic_sense,Jack was waiting in the signal in his car. Few seconds later the signal changed to yellow.,"Vehicle should start at green light, halt at red lights, and slow down at yellow lights.","{'question_text': 'Since the color of the signal changed to green, what should the driver do?', 'options': [{'A': 'Halt'}, {'B': 'Move'}, {'C': 'Sleep'}, {'D': 'Drive'}], 'value_answer': ['Drive'], 'option_answer': ['D'], 'other': {}}","Since the color of the signal changed to green, what should the driver do?","[{'A': 'Halt'}, {'B': 'Move'}, {'C': 'Sleep'}, {'D': 'Drive'}]",['Drive'],['D'],Kevin,B
24,attribute_comparison,at_least,Michael and his wife threw an anniversary party to their family and friends. A total of 41 people came to their party but only few of them brought atleast a gift and none of them brought more than one gift.,If each member contributes at least 1 then total would be more than the number of contributors,"{'question_text': 'What could be the total number of gifts?', 'options': [{'A': 35}, {'B': 44}, {'C': 36}, {'D': 39}], 'value_answer': [35, 36, 39], 'option_answer': ['A', 'C', 'D'], 'other': {'given_value': 41, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the total number of gifts?,"[{'A': 35}, {'B': 44}, {'C': 36}, {'D': 39}]","[35, 36, 39]","['A', 'C', 'D']",Neeraj,C
1548,non_numerical,polygon_angle,In a school there are blocks of different shapes to teach student's about different shapes and the angles in that particular shape. Alexander found out that a some of blocks have more than two angles.,A polygon encloses more than two angles.,"{'question_text': 'What could be the shape of the blocks?', 'options': [{'A': 'triangle'}, {'B': 'pentagon'}, {'C': 'square'}, {'D': 'round'}], 'value_answer': ['triangle', 'pentagon', 'square'], 'option_answer': ['A', 'B', 'C'], 'other': {}}",What could be the shape of the blocks?,"[{'A': 'triangle'}, {'B': 'pentagon'}, {'C': 'square'}, {'D': 'round'}]","['triangle', 'pentagon', 'square']","['A', 'B', 'C']",Sidharth,B
1350,non_numerical_sg,sport,Henry is a national level champion of national sport of USA,Baseball is the national sport of USA,"{'question_text': 'What could be the sport that he loves?', 'options': [{'A': 'Cricket'}, {'B': 'Volley Ball'}, {'C': 'Golf'}, {'D': 'Baseball'}], 'value_answer': ['Baseball'], 'option_answer': ['D'], 'other': {}}",What could be the sport that he loves?,"[{'A': 'Cricket'}, {'B': 'Volley Ball'}, {'C': 'Golf'}, {'D': 'Baseball'}]",['Baseball'],['D'],Sidharth,D
429,attribute_comparison,radius_and_circumference,"Jordan's friend Tom, suggested him to install a new fence to his two circular shaped gardens because Tom found some broken fence wires. Jordan required less fencing wire for a garden having a radius of 58 units.",Length of fence for circular garden is directly proportional to radius,"{'question_text': 'What could be the radius for the other garden ?', 'options': [{'A': 65}, {'B': 62}, {'C': 54}, {'D': 66}], 'value_answer': [65, 62, 66], 'option_answer': ['A', 'B', 'D'], 'other': {'given_value': 58, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the radius for the other garden ?,"[{'A': 65}, {'B': 62}, {'C': 54}, {'D': 66}]","[65, 62, 66]","['A', 'B', 'D']",Saurabh,D
1340,non_numerical_sg,physical_quantity,"Michael saw a machine which was used to measure a physical quantity, he notices that the value was always greater than zero.",Ratio attributes have a true zero and are always positive.,"{'question_text': 'What could have been measured by him?', 'options': [{'A': 'Weight'}, {'B': 'Temperature'}, {'C': 'Latitude'}, {'D': 'Height'}], 'value_answer': ['Weight', 'Height'], 'option_answer': ['A', 'D'], 'other': {}}",What could have been measured by him?,"[{'A': 'Weight'}, {'B': 'Temperature'}, {'C': 'Latitude'}, {'D': 'Height'}]","['Weight', 'Height']","['A', 'D']",Sidharth,"A, B"
886,change_with_action,boys_and_girls,There are 80 boys in a class.,There will equal or more number of students than the number of boys or girls,"{'question_text': 'How many total students can be there in this class?', 'options': [{'A': 67}, {'B': 86}, {'C': 76}, {'D': 88}], 'value_answer': [86, 88], 'option_answer': ['B', 'D'], 'other': {'given_value': 80, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",How many total students can be there in this class?,"[{'A': 67}, {'B': 86}, {'C': 76}, {'D': 88}]","[86, 88]","['B', 'D']",Neeraj,"B, D"
221,attribute_comparison,marks_comparisons,Ian secured 81 marks in the final test and passed.,"To pass an exam, you need to get at least passing marks.","{'question_text': ""What could have been the passing marks for Ian's test?"", 'options': [{'A': 85}, {'B': 77}, {'C': 81}, {'D': 82}], 'value_answer': [77, 81], 'option_answer': ['B', 'C'], 'other': {'given_value': 81, 'more_is_correct_flag': False, 'equal_is_correct_flag': True}}",What could have been the passing marks for Ian's test?,"[{'A': 85}, {'B': 77}, {'C': 81}, {'D': 82}]","[77, 81]","['B', 'C']",Kevin,C
1520,non_numerical,surface_tension_and_insects,Logan saw some objects floating on the surface of the water while sitting near a river bank.,Force exerted by any object like an ant on the water less than the surface tension of water makes that object float on the surface of the water whereas elephants can not.,"{'question_text': 'What could be the floating object?', 'options': [{'A': 'ant'}, {'B': 'flies'}, {'C': 'plastic spoon'}, {'D': 'Iron rod'}], 'value_answer': ['ant', 'flies', 'plastic spoon'], 'option_answer': ['A', 'B', 'C'], 'other': {}}",What could be the floating object?,"[{'A': 'ant'}, {'B': 'flies'}, {'C': 'plastic spoon'}, {'D': 'Iron rod'}]","['ant', 'flies', 'plastic spoon']","['A', 'B', 'C']",Sivapriya,C
332,attribute_comparison,ball_speed_height,"In an experiment, two identical balls has been dropped from a certain height. A ball that falls from the lowest height has a speed of 29 meter/second near the ground.",Speed of the ball near the ground is directly proportional to the height from which the ball is dropped.,"{'question_text': 'What could be the speed of the other ball?', 'options': [{'A': 24}, {'B': 30}, {'C': 32}, {'D': 23}], 'value_answer': [30, 32], 'option_answer': ['B', 'C'], 'other': {'given_value': 29, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the speed of the other ball?,"[{'A': 24}, {'B': 30}, {'C': 32}, {'D': 23}]","[30, 32]","['B', 'C']",Saurabh,B
