index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred,TotalRes,Matches,GPT3Pred2List,ProbableFPLenth,FalsePositives
485,attribute_comparison,flow_rate_and_volume,Adam is filling his two water tank. Each tank is being filled by two identical pipes. The water tank that is filled less is being filled by a pipe with flow rate of 26 units.,Volume filled is directly proportional to flow rate,"{'question_text': 'What could be the flow rate of other pipe ?', 'options': [{'A': 23}, {'B': 25}, {'C': 22}, {'D': 29}], 'value_answer': [29], 'option_answer': ['D'], 'other': {'given_value': 26, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the flow rate of other pipe ?,"[{'A': 23}, {'B': 25}, {'C': 22}, {'D': 29}]",['29'],['D'],Saurabh,"[25, 29]",1,1,"['25', '29']",2,1
146,attribute_comparison,rafting_downstream,"Hayden is rowing a boat. The speed of the boat in still water is 17. Now, Hayden starts to go downstream.",speed of the downstream river adds to the speed of the raft,"{'question_text': 'What could be the overall speed of the raft in downstream?', 'options': [{'A': 14}, {'B': 19}, {'C': 17}, {'D': 15}], 'value_answer': [19], 'option_answer': ['B'], 'other': {'given_value': 17, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the overall speed of the raft in downstream?,"[{'A': 14}, {'B': 19}, {'C': 17}, {'D': 15}]",['19'],['B'],Neeraj,"[19, 17, 15]",1,1,"['19', '17', '15']",3,2
466,attribute_comparison,area_paint_wall,A restaurant hired a painter to paint two walls in the dining hall. The name of the painter is Jayden. The painter painted the wall with larger surface area and it required 27 volume of paint.,Volume of paint required is directly proportional to area of the wall.,"{'question_text': 'What could be the volume of paint Jayden requires to paint the other wall?', 'options': [{'A': 29}, {'B': 27}, {'C': 30}, {'D': 26}, {'E': 'None'}], 'value_answer': [26], 'option_answer': ['D'], 'other': {'given_value': 27, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the volume of paint Jayden requires to paint the other wall?,"[{'A': 29}, {'B': 27}, {'C': 30}, {'D': 26}, {'E': 'None'}]",['26'],['D'],Saurabh,"[29, 27]",1,0,"['29', '27']",2,1
1355,non_numerical_sg,tailor,Jameson had a family function for which he wanted some get some new clothes. So he decided to get them stitched. He went to a shop for this work.,Job of a tailor is to stitch clothes,"{'question_text': ""He could have gone to who's shop"", 'options': [{'A': 'Tailor'}, {'B': 'Cobbler'}, {'C': 'Mechanic'}, {'D': 'None'}], 'value_answer': ['Tailor'], 'option_answer': ['A'], 'other': {}}",He could have gone to who's shop,"[{'A': 'Tailor'}, {'B': 'Cobbler'}, {'C': 'Mechanic'}, {'D': 'None'}]","[""'Tailor'""]",['A'],Sidharth,[Tailor],1,0,['Tailor'],1,0
397,attribute_comparison,gravity_and_distance,Two identical asteroids are some distance away from Earth. The asteroid closer to Earth is having gravitational pull of 74 units.,Gravitational force is inversely proportional to distance,"{'question_text': 'What could be the gravitational pull for the other asteroid?', 'options': [{'A': 74}, {'B': 83}, {'C': 79}, {'D': 68}, {'E': 'None'}], 'value_answer': [68], 'option_answer': ['D'], 'other': {'given_value': 74, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the gravitational pull for the other asteroid?,"[{'A': 74}, {'B': 83}, {'C': 79}, {'D': 68}, {'E': 'None'}]",['68'],['D'],Saurabh,"[74, 68]",1,1,"['74', '68']",2,1
585,attribute_comparison,pitch_and_amplitude,Logan is working in an auditorium and is testing the pitch of sound at two different frequencies. The frequency of sound when pitch is higher is 41 Hertz.,The pitch of the sound is directly proportional to the frequency of the sound.,"{'question_text': 'What could be the frequency of the other sound?', 'options': [{'A': 33}, {'B': 32}, {'C': 41}, {'D': 45}], 'value_answer': [33, 32], 'option_answer': ['A', 'B'], 'other': {'given_value': 41, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the frequency of the other sound?,"[{'A': 33}, {'B': 32}, {'C': 41}, {'D': 45}]","['33', '32']","['A', 'B']",Yamini,"[33, 32]",2,2,"['33', '32']",2,0
728,attribute_comparison,vol_cube,It was summer and Kevin wanted to make ice. He has two ice trays and fills water in the trays. The smaller ice tray was filled with 58 ml of water.,Volume of large cuboid is greater than volume of small cuboid.,"{'question_text': 'What could be the volume of water that could be needed to fill the smaller tray?', 'options': [{'A': 49}, {'B': 65}, {'C': 55}, {'D': 60}, {'E': 'None'}], 'value_answer': [65, 60], 'option_answer': ['B', 'D'], 'other': {'given_value': 58, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the volume of water that could be needed to fill the smaller tray?,"[{'A': 49}, {'B': 65}, {'C': 55}, {'D': 60}, {'E': 'None'}]","['65', '60']","['B', 'D']",Sidharth,"[49, 65, 55, 60]",2,2,"['49', '65', '55', '60']",4,2
886,change_with_action,boys_and_girls,There are 80 boys in a class.,There will equal or more number of students than the number of boys or girls,"{'question_text': 'How many total students can be there in this class?', 'options': [{'A': 67}, {'B': 86}, {'C': 76}, {'D': 88}], 'value_answer': [86, 88], 'option_answer': ['B', 'D'], 'other': {'given_value': 80, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",How many total students can be there in this class?,"[{'A': 67}, {'B': 86}, {'C': 76}, {'D': 88}]","['86', '88']","['B', 'D']",Neeraj,"[86, 88]",2,2,"['86', '88']",2,0
420,attribute_comparison,projectile_height,Anthony and his brother are throwing two identical balls in an upward direction at 45 degree of projection angle. Anthony's ball which reached at lower height had initial velocity of 49 meter/second.,Maximum height reached by the ball is directly proportional to the initial velocity at which it is thrown if fired at 45 degrees of projection angle.,"{'question_text': ""What could be the initial velocity of the ball thrown by Anthony's brother?"", 'options': [{'A': 46}, {'B': 56}, {'C': 52}, {'D': 41}], 'value_answer': [56, 52], 'option_answer': ['B', 'C'], 'other': {'given_value': 49, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the initial velocity of the ball thrown by Anthony's brother?,"[{'A': 46}, {'B': 56}, {'C': 52}, {'D': 41}]","['56', '52']","['B', 'C']",Saurabh,"[46, 56]",2,1,"['46', '56']",2,0
724,attribute_comparison,tyre_size,Cooper and his friend went for a cycle racing contest. His cycle was faster and his friends cycle was slower. The slower cycle had a tyre size of 19 inch.,A cycle with larger tyre size runs faster as compared to cycle with smaller tyre size.,"{'question_text': 'What could be the size of the faster cycle?', 'options': [{'A': 19}, {'B': 20}, {'C': 16}, {'D': 17}], 'value_answer': [20], 'option_answer': ['B'], 'other': {'given_value': 19, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the size of the faster cycle?,"[{'A': 19}, {'B': 20}, {'C': 16}, {'D': 17}]",['20'],['B'],Sidharth,"[19, 20]",1,1,"['19', '20']",2,1
