category,subcategory,premise,knowledge,question_text,options,correct_answers,correct_option,GPT2Pred
attribute_comparison,account_balance,Charlie has 622 dollars in his account. He wants to buy a bike.,One can not withdraw more money than the amount in their bank account,At what cost could Charlie buy the vehicle from his account?,"[{'A': 550}, {'B': 350}, {'C': 650}, {'D': 750}, {'E': 'None'}]","[550, 350]","['A', 'B']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Charlie has 622 dollars in his account. He wants to buy a bike.
Question: At what cost could Charlie buy the vehicle from his account?
Hypothesis: [{'A': 550}, {'B': 350}, {'C': 650}, {'D': 750}, {'E': 'None'}]
Result: [{'A': 595}, {'B': 595}, {'C': 595}, {'D': 595}, {"
attribute_comparison,account_balance,Jackson wants to buy a sports car. He has 534 dollars in his bank account.,One can not withdraw more money than the amount in their bank account,At what cost could Jackson buy the vehicle from his account?,"[{'A': 550}, {'B': 400}, {'C': 500}, {'D': 650}]","[400, 500]","['B', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Jackson wants to buy a sports car. He has 534 dollars in his bank account.
Question: At what cost could Jackson buy the vehicle from his account?
Hypothesis: [{'A': 550}, {'B': 400}, {'C': 500}, {'D': 650}]
Result: [550, 400]

Premise: Jackson wants to buy a sports car. He has 534 dollars in his bank account.
Question"
attribute_comparison,account_balance,Cost of a bike is 692 dollars. William wants to buy this bike.,One can not withdraw more money than the amount in their bank account,How much money William could have to buy the vehicle from his account?,"[{'A': 500}, {'B': 600}, {'C': 800}, {'D': 450}, {'E': 'None'}]",[800],['C'],"Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Cost of a bike is 692 dollars. William wants to buy this bike.
Question: How much money William could have to buy the vehicle from his account?
Hypothesis: [{'A': 500}, {'B': 600}, {'C': 800}, {'D': 450}, {'E': 'None'}]
Result: [{'A': 500}, {'B': 600}, {'C': 800}, {'D': 450}, {'E': '"
attribute_comparison,account_balance,Cost of a bike is 552 dollars. Nicolas wants to buy this bike.,One can not withdraw more money than the amount in their bank account,How much money Nicolas could have to buy the vehicle from his account?,"[{'A': 750}, {'B': 500}, {'C': 450}, {'D': 550}, {'E': 'None'}]",[750],['A'],"Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Cost of a bike is 552 dollars. Nicolas wants to buy this bike.
Question: How much money Nicolas could have to buy the vehicle from his account?
Hypothesis: [{'A': 750}, {'B': 500}, {'C': 450}, {'D': 550}, {'E': 'None'}]
Result: [750, 500]

Premise: The cost of a bike is 552 dollars. Nicolas wants to buy this bike.
Question:"
attribute_comparison,age,Cole is 72 years old.,Son's age would be less than that of the father,How old could Cole's son be?,"[{'A': 47}, {'B': 22}, {'C': 97}, {'D': 72}]","[47, 22]","['A', 'B']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Cole is 72 years old.
Question: How old could Cole's son be?
Hypothesis: [{'A': 47}, {'B': 22}, {'C': 97}, {'D': 72}]
Result: [97, 72]

Premise: Cole's son is 21 years old.
Question: What is the age of Cole's son?"
attribute_comparison,age,Andrew is 65 years old.,Son's age would be less than that of the father,How old could Andrew's son be?,"[{'A': 15}, {'B': 65}, {'C': 40}, {'D': 90}]","[15, 40]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Andrew is 65 years old.
Question: How old could Andrew's son be?
Hypothesis: [{'A': 15}, {'B': 65}, {'C': 40}, {'D': 90}]
Result: [15, 90]

Premise: Andrew is 65 years old.
Question: What could be the radius of Andrew's son?
"
attribute_comparison,age,Jesse is 27 years old.,Son's age would be less than that of the father,How old could Jesse's son be?,"[{'A': 50}, {'B': 25}, {'C': 0}, {'D': 75}]","[50, 75]","['A', 'D']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Jesse is 27 years old.
Question: How old could Jesse's son be?
Hypothesis: [{'A': 50}, {'B': 25}, {'C': 0}, {'D': 75}]
Result: [75, 75]

Premise: Jesse is 27 years old.
Question: What could be the radius of Jesse's son?
"
attribute_comparison,age,Gabriel is 31 years old.,Son's age would be less than that of the father,How old could Gabriel's son be?,"[{'A': 75}, {'B': 0}, {'C': 50}, {'D': 25}]","[75, 50]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Gabriel is 31 years old.
Question: How old could Gabriel's son be?
Hypothesis: [{'A': 75}, {'B': 0}, {'C': 50}, {'D': 25}]
Result: [75, 25]

Premise: Gabriel's son is Gabriel's son.
Question: What is the age of Gabriel's son?"
attribute_comparison,age,"Abraham has a brother who is older than him, the age of his brother is 26 years old.",Elder person has more age than a younger person,How old could Abraham be?,"[{'A': 20}, {'B': 30}, {'C': 21}, {'D': 31}, {'E': 'None'}]","[20, 21]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Abraham has a brother who is older than him, the age of his brother is 26 years old.
Question: How old could Abraham be?
Hypothesis: [{'A': 20}, {'B': 30}, {'C': 21}, {'D': 31}, {'E': 'None'}]
Result: [{'A': 20}, {'B': 30}, {'C': 21}, {'D': 31}, {'E': '"
attribute_comparison,age,"Bentley has a cousin who is older than him, the age of his cousin is 22 years old.",Elder person has more age than a younger person,How old could Bentley be?,"[{'A': 15}, {'B': 27}, {'C': 21}, {'D': 25}, {'E': 'None'}]","[15, 21]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Bentley has a cousin who is older than him, the age of his cousin is 22 years old.
Question: How old could Bentley be?
Hypothesis: [{'A': 15}, {'B': 27}, {'C': 21}, {'D': 25}, {'E': 'None'}]
Result: [{'A': 15}, {'B': 27}, {'C': 21}, {'D': 25}, {'E': '"
attribute_comparison,age,Henry's younger sister is 47 years old.,Elder person has more age than a younger person,How old could Henry be?,"[{'A': 43}, {'B': 46}, {'C': 41}, {'D': 42}, {'E': 'None'}]",['None'],['E'],"Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Henry's younger sister is 47 years old.
Question: How old could Henry be?
Hypothesis: [{'A': 43}, {'B': 46}, {'C': 41}, {'D': 42}, {'E': 'None'}]
Result: [42, 42]

Premise: Henry is a young man.
Question: What is the age of Henry?
Hypothesis"
attribute_comparison,age,Arthur's younger brother is 47 years old.,Elder person has more age than a younger person,How old could Arthur be?,"[{'A': 46}, {'B': 50}, {'C': 47}, {'D': 49}, {'E': 'None'}]","[50, 49]","['B', 'D']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Arthur's younger brother is 47 years old.
Question: How old could Arthur be?
Hypothesis: [{'A': 46}, {'B': 50}, {'C': 47}, {'D': 49}, {'E': 'None'}]
Result: [49, 49]

Premise: Arthur is a young man.
Question: What is the age of Arthur?
Hypothesis"
attribute_comparison,area_and_resistance,Victor's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The area of the wire with larger resistance is 32 units.,Resistance is inversely proportional to the area of the metalic wire,What could be the area of the other wire?,"[{'A': 33}, {'B': 31}, {'C': 30}, {'D': 34}]","[33, 34]","['A', 'D']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Victor's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The area of the wire with larger resistance is 32 units.
Question: What could be the area of the other wire?
Hypothesis: [{'A': 33}, {'B': 31}, {'C': 30}, {'D': 34}]
Result: [34, 34]

Premise: The experiment is to observe the relationship between resistance and area using two similar wires of different areas. The"
attribute_comparison,area_and_resistance,Brandon's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The area of the wire with larger resistance is 48 units.,Resistance is inversely proportional to the area of the metalic wire,What could be the area of the other wire?,"[{'A': 49}, {'B': 50}, {'C': 47}, {'D': 52}, {'E': 'None'}]","[49, 50, 52]","['A', 'B', 'D']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Brandon's experiment is to observe the relationship between resistance and area using two similar wires of different areas. The area of the wire with larger resistance is 48 units.
Question: What could be the area of the other wire?
Hypothesis: [{'A': 49}, {'B': 50}, {'C': 47}, {'D': 52}, {'E': 'None'}]
Result: [49, 52]

Premise: Brandon's experiment is to observe the relationship between resistance and area using two similar wires of different areas."
attribute_comparison,area_and_resistance,Oliver learns about the relation of resistance and area using two wires which are similar with different areas. 23 units is the resistance of wire which has larger area.,Resistance is inversely proportional to the area of the metalic wire,What could be the resistance of the other wire?,"[{'A': 26}, {'B': 22}, {'C': 25}, {'D': 21}]","[26, 25]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Planet A is bigger in radius that planet B. The radius of planet A is 43 units.
Question: What could be the radius of planet B?
Options: [{'A': 46}, {'B': 39}, {'C': 43}, {'D': 41}]
Result: [39, 41]

Premise: Oliver learns about the relation of resistance and area using two wires which are similar with different areas. 23 units is the resistance of wire which has larger area.
Question: What could be the resistance of the other wire?
Hypothesis: [{'A': 26}, {'B': 22}, {'C': 25}, {'D': 21}]
Result: [26, 21]

Premise: Oliver learns about the relation of resistance and area using two wires which are similar with different areas. 23"
