index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred,TotalRes,Matches,GPT3Pred2List,ProbableFPLenth,FalsePositives
1054,implicit_numerical_knowledge,decade,John's son Brandon has been in politics for 2 decades now.,A decade has 10 years,"{'question_text': 'How many years could Brandon have spent in politics?', 'options': [{'A': 20}, {'B': 21}, {'C': 25}, {'D': 12}, {'E': 'None'}], 'value_answer': [20, 21, 25], 'option_answer': ['A', 'B', 'C'], 'other': {'given_value': 20, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",How many years could Brandon have spent in politics?,"[{'A': 20}, {'B': 21}, {'C': 25}, {'D': 12}, {'E': 'None'}]","['20', '21', '25']","['A', 'B', 'C']",Neeraj,"[20, 21, 25, 12]",3,3,"['20', '21', '25', '12']",4,1
504,attribute_comparison,compressibility_and_density,Ian is an employee at Fire extinguisher manufacturing industry. Ian is asked to learn and observe how the compressibility factor changes at two different density of two identical gases to know how fairly large mass of a gas can be put in a small metal cylinder by compression. So Ian compared the compressibility factor and density of both the gases to understand the same. The density of the gas with lower compressibility factor is 39 units.,Compressibility factor is inversely proportional to density at constant pressure and temperature of the gas.,"{'question_text': 'What could be the density of the other gas?', 'options': [{'A': 42}, {'B': 41}, {'C': 40}, {'D': 38}], 'value_answer': [38], 'option_answer': ['D'], 'other': {'given_value': 39, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the density of the other gas?,"[{'A': 42}, {'B': 41}, {'C': 40}, {'D': 38}]",['38'],['D'],Yamini,"[40, 38]",1,1,"['40', '38']",2,1
1368,non_numerical,tomatoes,Samuel and his brother were watching a movie in which they saw an animal with stripes hunting other animals.,Animals like tiger and zebra have stripes on their body.,"{'question_text': 'What could the animal be?', 'options': [{'A': 'donkey'}, {'B': 'lion'}, {'C': 'tiger'}, {'D': 'zebra'}], 'value_answer': ['tiger', 'zebra'], 'option_answer': ['C', 'D'], 'other': {}}",What could the animal be?,"[{'A': 'donkey'}, {'B': 'lion'}, {'C': 'tiger'}, {'D': 'zebra'}]","[""'tiger'"", ""'zebra'""]","['C', 'D']",Saurabh,"[tiger, zebra]",2,0,"['tiger', 'zebra']",2,0
1099,implicit_numerical_knowledge,thumb_in_hand,"In a meeting, all the attendees scanned the thumb of both their hands. There were at least 30 scans done.",A human usually has two hands each having one thumb,"{'question_text': 'How many people could have attended the meeting?', 'options': [{'A': 10}, {'B': 19}, {'C': 20}, {'D': 24}], 'value_answer': [19, 20, 24], 'option_answer': ['B', 'C', 'D'], 'other': {'given_value': 15, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",How many people could have attended the meeting?,"[{'A': 10}, {'B': 19}, {'C': 20}, {'D': 24}]","['19', '20', '24']","['B', 'C', 'D']",Neeraj,"[20, 24]",3,2,"['20', '24']",2,-1
1444,non_numerical,tomatoes,Dr.Christian is researching about fruits and time to cultivate them. His lab wants various fruits in his research study.,"Tomatoes are fruits, not vegetables.","{'question_text': 'Which fruit among these the lab could include for their research?', 'options': [{'A': 'tomatoes'}, {'B': 'potatoes'}, {'C': 'onion'}, {'D': 'cabbage'}], 'value_answer': ['tomatoes'], 'option_answer': ['A'], 'other': {}}",Which fruit among these the lab could include for their research?,"[{'A': 'tomatoes'}, {'B': 'potatoes'}, {'C': 'onion'}, {'D': 'cabbage'}]","[""'tomatoes'""]",['A'],Saurabh,['tomatoes'],1,1,"[""'tomatoes'""]",1,0
1356,non_numerical_sg,tin_isotopes,Jonathan works in a lab on radioactive decomposition. He observed that an element was being formed from different decadence operations and that had many isotopes.,Tin has the maximum number of stable isotopes.,"{'question_text': 'What could have been the element?', 'options': [{'A': 'Tin'}, {'B': 'Copper'}, {'C': 'Boron'}, {'D': 'Carbon'}], 'value_answer': ['Tin'], 'option_answer': ['A'], 'other': {}}",What could have been the element?,"[{'A': 'Tin'}, {'B': 'Copper'}, {'C': 'Boron'}, {'D': 'Carbon'}]","[""'Tin'""]",['A'],Sidharth,['Tin'],1,1,"[""'Tin'""]",1,0
795,attribute_comparison,monotonous_increase,Isaac noted the heights of all the students in the class and made them stand according to their height. The height of the student standing at first place is 109 cm.,A function is called a monotonous increase function if it is strictly increasing.,"{'question_text': 'What could be the height of the student standing in the last position?', 'options': [{'A': 113}, {'B': 105}, {'C': 106}, {'D': 112}], 'value_answer': [113, 112], 'option_answer': ['A', 'D'], 'other': {'given_value': 109, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",What could be the height of the student standing in the last position?,"[{'A': 113}, {'B': 105}, {'C': 106}, {'D': 112}]","['113', '112']","['A', 'D']",Sivapriya,"[113, 112]",2,2,"['113', '112']",2,0
1323,non_numerical_sg,hearing,Justin is fond of listening to music. He listens to music all the time. Over time he observed that because of some reason he has started to hear less from one of his ear.,Hearing songs on loud volume may lead to hearing disabilities.,"{'question_text': 'What could have been the reason?', 'options': [{'A': 'Eating too much'}, {'B': 'Sleeping too much'}, {'C': 'Snoring too much'}, {'D': 'Listening to loud music'}], 'value_answer': ['Listening to loud music'], 'option_answer': ['D'], 'other': {}}",What could have been the reason?,"[{'A': 'Eating too much'}, {'B': 'Sleeping too much'}, {'C': 'Snoring too much'}, {'D': 'Listening to loud music'}]","[""'Listening to loud music'""]",['D'],Sidharth,[D],1,1,['D'],1,0
1447,non_numerical,tusk,A multinational team led by the University of Oxford’s Pitt Rivers Museum recently found a ancient cargo. The cargo was mostly consisting of ivory that is obtained from an animal.,"Animals like elephant, walrus and wild boar have tusks.","{'question_text': 'What could the animal be?', 'options': [{'A': 'elephant'}, {'B': 'walrus'}, {'C': 'scorpion'}, {'D': 'dog'}], 'value_answer': ['elephant', 'walrus'], 'option_answer': ['A', 'B'], 'other': {}}",What could the animal be?,"[{'A': 'elephant'}, {'B': 'walrus'}, {'C': 'scorpion'}, {'D': 'dog'}]","[""'elephant'"", ""'walrus'""]","['A', 'B']",Saurabh,"[elephant, walrus]",2,0,"['elephant', 'walrus']",2,0
1325,non_numerical_sg,kangaroo,Kayden went on a trip to Australia. He was eager to see the five legged animal that is famous in Australia.,Kangaroo is effectively a five legged animal.,"{'question_text': 'What could have been the animal that Kayden saw?', 'options': [{'A': 'Kangaroo'}, {'B': 'Cheetah'}, {'C': 'Panther'}, {'D': 'Tasmanian Wolf'}], 'value_answer': ['Cheetah'], 'option_answer': ['B'], 'other': {}}",What could have been the animal that Kayden saw?,"[{'A': 'Kangaroo'}, {'B': 'Cheetah'}, {'C': 'Panther'}, {'D': 'Tasmanian Wolf'}]","[""'Cheetah'""]",['B'],Sidharth,['Kangaroo'],1,0,"[""'Kangaroo'""]",1,0
