index,category,subcategory,knowledge,premise,hypothesis,binary_classification_label,author,GPT3Pred
3080,non_numerical,rational_and_irrational_numbers2,"Any number that can be represented in the form of a fraction is a rational number. Irrational numbers like square root of 2,3 or pi are non recurring and non repeating decimals.",Jacob wanted to use the value of pi for calculating area of a circle but the teacher told him to use quotient of 22 divided by 7. He named its quotient to be approximate pi.,Approximate pi could be a rational number.,True,Himanshu,True
2306,non_numerical,dragonflies_wings,Dragonflies have 4 wings.,Jesse was an entomologist and was moving through a rainforest for a study. He saw an insect with 4 wings fluttering nearby.,The insect could have been a dragonfly.,True,Himanshu,True
119,attribute_comparison,direct_comparison,More weight implies an object is heavier,Joseph has two cans. The first can is lighter than the second can. The weight of second can is 53 units.,Weight of the first can could be 53 units.,False,Neeraj,False
1987,implicit_numerical_knowledge,buying,One needs equal or more money than the price of item to buy it,Thomas has 127 dollars and he wants to buy a toy each for his two kids. The two toys are of equal price.,He could buy both the toys if the price of each toy is 66 dollars.,False,Neeraj,False
262,attribute_comparison,portion,A portion of an object is less than the whole object,Thomas while playing cricket aimed his shot at a window and broke that window into several pieces. Weight of one of the broken piece is 31 pounds.,Weight of the unbroken window could be 39 pounds.,True,Neeraj,False
414,attribute_comparison,geometry_rectangles,Width is always lesser than length in a rectangle.,"In Joseph's recent trip, he visited a park which was rectangular in shape. The park was 109 metres in length.",The park visited by Joseph has 104 metres width.,True,Kevin,False
2816,non_numerical,lawyer,A lawyer is a person who practices law and advises clients on aspects of all law.,Leon hired lawyer to advise certain laws for his company.,The person could have been hired to counsel on tax regulations of the company.,True,Saurabh,True
3233,implicit_numerical_knowledge,Quarter,Quarter means one by four,Richard ate 16 chocolates and his brother then ate more than quarter of this amount of chocolate.,Richard's brother could have eaten 1 chocolates.,False,Saurabh,False
1173,attribute_comparison,pitch_and_amplitude,The pitch of the sound is directly proportional to the frequency of the sound.,Noah is working in an auditorium and is testing the pitch of sound at two different frequencies. The pitch of sound when frequency is lower is 201 Hertz.,Pitch of the other sound could be 193 Hertz.,False,Yamini,False
143,attribute_comparison,distance,It takes more time to cover larger distance than shorter distance,Two girls study in same school. The speed of walikng of both the girls is same. One of the girl takes more time to travel from home to school lives 16 metres away from school.,The other girl could be staying 21 meters from school.,False,Neeraj,False
1391,attribute_comparison,ohms_law,Voltage is directly proportional to current.,There are two bulbs and in both the bulb sockets the voltage is different. The current in bulb with higher voltage is 8 A.,Current in the bulb with low voltage could be 9 A.,False,Sidharth,False
852,attribute_comparison,radius_and_circumference,Length of fence for circular garden is directly proportional to radius,"Nathan's friend Tom, suggested him to install a new fence to his two circular shaped gardens because Tom found some broken fence wires. Nathan required 40 length of fence for garden with larger radius.",Length of the fence required for other garden could be 37 units.,True,Saurabh,True
1291,attribute_comparison,viscosity_and_temperature,The viscosity of liquids decreases rapidly with an increase in temperature.,"To identify the best lubricant for the manufacturing equipment, Liam was testing it with two liquids. The temperature of the liquid with lower viscosity is 37 units.",Temperature of the other gas could be 38 units.,False,Yamini,False
2391,non_numerical,diving_height,Incoming traffic need not wait for signal to turn right on a free right.,Several cars were turning right without waiting for the signal when Evan was on his fway to work.,The cars were on a free left road.,False,Kevin,False
2190,implicit_numerical_knowledge,square,A square has four sides of equal length,"To protect the square garden of side length 14 units from invaders, Judah fenced some of the uncovered sides of his garden with wires.",A wire of length 51 units could result in no wastage.,True,Neeraj,False
1436,attribute_comparison,store_files,The number of files of equal sizes that can be stored is directly proportional to storage size.,Adam bought two external USB drives of different capacity. It is known that each file is the same size. 399 is the file numbers which can be stored on a larger size USB drive.,Number of equal sized files which can be stored in smaller drive could be 394.,True,Sidharth,True
1581,attribute_comparison,low_pass_filter,A low pass filter allows the signal that has a frequency below the cut-off frequency.,Jonah have a meeting set with speaker systems where a low pass filter is required to direct the lower frequency bass signals to the larger bass speakers and reduce any high-frequency noise or “hiss” type distortion. The cutoff frequency for the filter used is 62 units.,Frequency of the output signal that got filtered could be 63 units.,False,Sivapriya,False
2804,non_numerical,hot_cold_air,Hot air is lighter than cold air.,Patrick has organized a welcome party for his friend. He was filling a balloon with hot air and the other with cold air. He noticed that one of the balloons was floating at the top of the room.,The balloon could be filled with hot air.,True,Saurabh,True
3235,implicit_numerical_knowledge,Quarter,Quarter means one by four,Benjamin's father brought 10 chocolates from the shop. Benjamin's brother ate more than a quarter of the chocolates brought by his father. ,Benjamin's brother could have eaten 2 chocolates.,False,Saurabh,False
70,attribute_comparison,direct_comparison,Bigger library can accomodate more books,A library can accommodate 40 books. There is a bigger library nearby.,The capacity of the bigger library could be 48.,True,Neeraj,False
576,attribute_comparison,car_capacity,Bigger vehicles have more seating capacity.,"Parker bought a bus with a capacity of 60 people. Later, he bought a new bus with a higher capacity.",The seating capacity of the new bus could be 67 people.,True,Himanshu,False
1763,change_with_action,balance,After spending one is left with lesser money,Samuel annual income is 10 thousand dollars and spends some money on his food and other essentials.,Samuel could be left with 14 thousand dollars.,False,Neeraj,False
767,attribute_comparison,electricity_bill_power,Electricity bill amount is directly proportional to power usage.,Judah has paid the electricity bill for months May and June. The month May had higher electricity bill amount with power usage of 98 watts.,The power usage of month June could be 99 watts.,False,Saurabh,False
2979,non_numerical,measure_meter,"Atmospheric pressure can be measured through Barometer but not through any other meter like hygrometer, multimeter. ",Maxwell was observing the climatic changes for which he needs a device to calculate the atmospheric pressure.,The device could have been a Hygrometer.,False,Sivapriya,True
1154,attribute_comparison,humidity_and_temperature,Relative humidity is inversely proportional to temperature.,The cities where Joel and his friend lives have different weather conditions. The temperature of the city with higher relative humidity is 172 K.,Temperature of the other city could be 181 K.,True,Yamini,False
1544,attribute_comparison,focal_length_and_shot,"The shorter the focal length, the wider the angle of view and the greater the area captured. The longer the focal length, the smaller the angle and the larger the subject appears to be.",Gabriel is a photographer and the focal length of the lens used to click the wide angle pictures for the events is 35 units.,Focal length of the other lens used for wild photography could be 36 units.,True,Sivapriya,True
998,attribute_comparison,compressibility_and_density,Compressibility factor is inversely proportional to density at constant pressure and temperature of the gas.,"David wants to store two gases in separate containers. To determine the amount of gas that can be stored in the containers, he needs to understand the relation between the compressibility factor and density of gas. The compressibility factor of gas with higher density is 16 units.",Compressibility factor of the other gas could be 24 units.,True,Yamini,False
807,attribute_comparison,projectile_angle_height,Maximum height reached by an object is directly proportional to the projectile angle at which it is thrown if the initial velocity is constant.,"Mateo and his sister are trying to pick some oranges from a tree. Since they are not able to reach to height of the oranges, they decided to throw stone to make orange fall on the ground. Both have same muscle power to throw a stone. Mateo threw a stone with a greater angle of projection and reached a height of 10 meters.",Maximum height reached by the stone thrown by Mateo's sister could be 17 meters.,False,Saurabh,False
1837,change_with_action,marks,Highest marks are the maximum marks among all students,"In Atlas's class, the highest marks are 58.",Atlas could have scored 75 marks.,False,Neeraj,False
59,attribute_comparison,density,A liquid with lesser density floats on another liquid,Mateo has two different liquids in a flask. One of them floats over the other liquid has density of 13 units,Density of the other liquid could be 8 units.,False,Neeraj,True
2900,non_numerical,acids_blue_to_red,Acids turn blue litmus paper to red.,Maxwell is performing experiments in a chemistry lab where he is given some substances that turn blue litmus paper to red.,The substances could have been Hydrochloric acid or Sulphuric acid.,True,Sivapriya,True
1809,change_with_action,cut_items,When something is cut the number of pieces increases,Christian cut some apples into pieces. He initially had 9 apples.,Christian could be having 6 pieces now.,False,Neeraj,True
3178,implicit_numerical_knowledge,double,Double means two times,Last year 548 people voted for the college election and this year the vote count was more than double the last time.,1200 people could have voted this year.,True,Neeraj,False
238,attribute_comparison,length_and_resistance,Resistance is directly proportional to the length of the metalic wire,Julian experiment is to observe the relationship between the resistance and the length using two similar cables from different length. The cable resistance with lower length is 25 units,Resistance of the other wire could be 31 units.,True,Neeraj,False
1284,attribute_comparison,viscosity_and_temperature,The viscosity of liquids decreases rapidly with an increase in temperature.,"To identify the best lubricant for the manufacturing equipment, Charles was testing it with two liquids. The viscosity of the liquid with lower temperature is 29 units.",Viscosity of the other liquid could be 27 units.,True,Yamini,False
2600,non_numerical_sg,closest,Mercury is the closest planet to the sun,Noah studied on internet about a planet that is closer to the sun.,The planet could be Mercury.,True,Sidharth,True
1435,attribute_comparison,social_media,Number of daily active users in a social media platform is proportional to the popularity of the social media app.,"Joel uses two social networking platforms, Fakebook and Chatsnap. Among the two he uses Fakebook, most of the social media users use Fakebook as it is more popular compared to ChatSnap. The number of daily active users in Chatsnap is 12998.",The number of users on Fakebook could be 12781.,False,Sidharth,False
2992,non_numerical,pressure_sensor,A pressure sensor is a device or instrument which can measure the pressure in gases or liquids.,"Jose is working with steam systems, where he needs a device for calculating the pressure.",The device could have been a pressure sensor.,True,Sivapriya,True
1860,change_with_action,moving_components,When a few items are moved away the number of items that remain is less than the total number of items initially present,A dock in California had 35 crates and a few crates have been transferred to the dock in New York.,32 crates could be remaining at the California dock now.,True,Neeraj,True
757,attribute_comparison,electricity_bill_power,Electricity bill amount is directly proportional to power usage.,Daniel has paid the electricity bill for months May and June. The month May had higher power usage amounting electricity bill to 76 dollars.,The electricity bill amount Daniel paid for month June could be 77.,False,Saurabh,False
2533,non_numerical,gas_balloon,"A gas balloon is a balloon that rises and floats in the air because it is filled with a gas lighter than air like helium, hydrogen, and neon.",Samuel's birthday is in two days and she wants balloons that rise up in her birthday party.,The gas inside the balloon could be oxygen.,False,Yamini,True
1386,attribute_comparison,obj_weight,Objects with more weight tend to fall faster as compared to objects with less weight.,"There are two balloons, one of them has air in it and one of them has water in it. Both the balloons were thrown at same time from same height and the balloon with water reaches the ground faster than the balloon with air. The weight of balloon with air is 28 grams ",The weight of water balloon could be 39 grams.,True,Sidharth,False
1079,attribute_comparison,effusion_and_velocity,The rate of effusion is directly proportional to velocity of particles.,"The two balloon's filled with different gases was bought by Jonathan for his friends party , but it was losing pressure. He noted that the rate of effusion of gas from the balloon with a gas with higher velocity is 50 units.",Rate of effusion of gas from the other baloon could be 58 units.,False,Yamini,False
988,attribute_comparison,buoyant_and_density,Buoyant force is directly proportional to the density of the fluid in which an object is immersed.,Cooper was oil painting and he accidentally dropped his brushes. Two of the brushes fell in a bowl of oil and a bowl of paint kept nearby. The buoyant force exerted on the brush when the density was lower is 58 units.,Buoyant force when density is higher could be 62 units.,True,Yamini,False
3163,transaction,money,When some money is transferred to others money with the giver decreases,"Charles had 94 dollars initially and took some money from Victoria who initially had 195 dollars.Charles had a friend Victoria. Charles wanted to buy something but only had 94 dollars with her which was not sufficient, so Victoria who had initially 195 dollars gave Charles some money",Victoria could be having 220 dollars now.,False,Neeraj,False
247,attribute_comparison,passing,Students who pass an exam can not be more than the number of students who gave the exam,54 students appeared for the exam.,68 could pass that exam.,False,Neeraj,False
304,attribute_comparison,rafting_upstream,speed of the upstream river reduces the speed of the raft,Leon is rowing a boat. The time taken to cross the river in still water is 12 minutes. While coming back Leon starts to go upstream.,The time taken to come back could be 16 units in upstream.,True,Neeraj,False
190,attribute_comparison,height_and_potential_energy,Potential energy is directly proportional to the height,Abraham learns about the relation of potential energy and height. 25 units is the height of ball which has higher potential energy.,Height of the other ball could be 17 units.,True,Neeraj,False
564,attribute_comparison,weight,Light person has lesser weight than heavy person.,Nolan is less heavier than his friend and is 164 pounds.,Nolan's friend could weigh 169 pounds.,True,Kevin,True
2834,non_numerical,pearl,Oyster make pearls inside their shell.,A shop sells  pearls. The shop owner asked Maxwell to collect more pearls for the shop.,He could be collecting oysters.,True,Saurabh,False
1543,attribute_comparison,focal_length_and_power,The optical power of a lens is equal to the reciprocal of the focal length of the lens.,"Hayden's experiment is to work with the two lenses, provided their optical powers and observed the type of image being formed. The lens with more optical power has the focal length 52 cm.",Focal length of the other lens could be 45 cm.,False,Sivapriya,True
2766,non_numerical,cook,A cook is a person who prepares food in the restaurant.,A restaurant recently hired few cooks for preparing an item.,The item could have been pasta.,True,Saurabh,True
2484,non_numerical,wild_animals,Only wild animals are found in wildlife sanctuaries.,Jude and his friends visited a famous wildlife sanctuary. They were sitting inside a caged vehicle and saw an animal approaching them.,The animal could have been lioness.,True,Kevin,False
542,attribute_comparison,volume_and_height,Volume is directly proportional to height when base area is constant.,Henry's house recently installed a rectangular water tank and his friends' house also installed a bigger water tank with the same base dimensions. The height of the Henry's water tank is 60 m.,The height of Henry's friend's tank can be 69 m.,True,Kevin,False
