index,category,subcategory,knowledge,premise,hypothesis,binary_classification_label,author,GPT3Pred
1008,attribute_comparison,compressibility_and_density,Compressibility factor is inversely proportional to density at constant pressure and temperature of the gas.,Ian is an employee at Fire extinguisher manufacturing industry. Ian is asked to learn and observe how the compressibility factor changes at two different density of two identical gases to know how fairly large mass of a gas can be put in a small metal cylinder by compression. So Ian compared the compressibility factor and density of both the gases to understand the same. The density of the gas with lower compressibility factor is 39 units.,Density of the other gas could be 36 units.,True,Yamini,False
2420,non_numerical,profession_knowledge,Teacher is the person who teaches students skills.,Leo wanted to learn a new subject. So he went to a person to learn the subject.,The person could have been a teacher.,True,Kevin,True
763,attribute_comparison,electricity_bill_power,Electricity bill amount is directly proportional to power usage.,Jaxon is managing the bill payment for an apartment building. He paid the electricity bill for two months May and June. In month May the apartment had lower power usage amounting the electricity bill to 24 dollars.,The electricity bill amount Jaxon paid for month June could be 16.,False,Saurabh,False
274,attribute_comparison,portion,Price of a component of an object is less than the whole object,Finn recently bought a TV remote at a price of 102 dollars. Finn is thinking of buying a new TV now.,Finn can get the TV at a price of 200 dollars.,True,Neeraj,False
2171,implicit_numerical_knowledge,rainbow,Rainbow has severn colors,Dylan went shopping during sale season to grab the best deals on clothes. He bought at least 2 shirts of each color of the rainbow.,Dylan could have bought 11 shirts in total.,False,Neeraj,True
2329,non_numerical,moving_and_flying_objects,Vehicles like car and bicycle run on the ground. Vehicles like plane and rockets fly in the air.,Luke saw a vehicle flying when he visited a space station.,The vehicle could be a bicycle.,False,Himanshu,False
1273,attribute_comparison,toughness_and_thickness,The critical fracture toughness decreases when thickness of specimens increases.,There are two glasses that Aaron has and they have different thickness. The thickness of the glass with lower fracture toughness is 22 units.,Thickness of the other glass could be 27 units.,False,Yamini,False
494,attribute_comparison,throwing_sport,"In throwing sports, winner throws the object farthest.","In the recent athletics game, Julian was the runner up and threw the ball 7 meters far.",The winner in that tournament could have thrown the ball 8 meters far.,True,Kevin,True
3216,implicit_numerical_knowledge,quadruple,Quadruple means four times,Christopher spent 11 on buying chocolates and spent more than quadruple of this amount buying burgers.,Christopher could have spent 45 dollars on burgers.,True,Saurabh,True
2758,non_numerical,birds_fly2,"Birds like penguin can't fly and live in colder regions whereas crow, parrots, and kingfisher can fly.",Evan visited Antarctica and saw a bird that couldn't fly and was walking on the ice.,The bird could be a penguin.,True,Saurabh,True
2185,implicit_numerical_knowledge,square,A square has four sides of equal length,Leon is making a square shaped frame with ribbon. He has ribbon of length 60 units.,Leon could make the square of side length 18 units.,False,Neeraj,True
1426,attribute_comparison,refraction,Refractive index is inversely proportional to speed of light.,Jonah performs an experiment on two transparent windows with different refractive index. The speed of light from window with less refractive index is more compared to another window. The refractive index of the window with more light speed is 4.,Refractive index of transparent object when speed of light is lesser could be 5,True,Sidharth,False
479,attribute_comparison,speed_and_time,Slower body takes more time to travel.,"Christian reached to the office at the rate of 90 mph, 30 minutes later than his brother who started from the same home at the same time.",The speed at which Christian's brother travelled could have been 84 mph.,False,Kevin,True
1653,attribute_comparison,strain_and_stress,The strain developed in an object is directly proportional to the stress applied.,Adam subjected two balls with stress and more stress was applied to the first ball. The strain developed in the first ball is 35 units.,Strain developed in the other ball could be 37 units.,False,Sivapriya,True
1624,attribute_comparison,pressure_and_force,Pressure is directly proportional to the force applied.,Two people of different weight stepped on a ball where the pressure exerted by the first person is greater than second person. The weight of the first person is 44 units.,The weight of the other person could be 43 units.,True,Sivapriya,False
206,attribute_comparison,hotel_capacity,Occupants can not exceed the capcity of a hotel,The hotel Grand can accommodate 191 customers at once.,"On Monday, 146 customers could be residing in the hotel.",True,Neeraj,True
