index,category,subcategory,premise,knowledge,question,question_text,options,value_answer,option_answer,author,GPT3Pred
980,implicit_numerical_knowledge,animals,"Edward has 8 animals. Some are dogs, a few are cats, and remaining are cows. He took all his animals to a doctor and got all their legs tested. The doctor also tested a few other animals that day.","Dogs, cats, cows have 4 legs","{'question_text': 'How many legs could the doctor have tested?', 'options': [{'A': 24}, {'B': 28}, {'C': 36}, {'D': 40}], 'value_answer': [36, 40], 'option_answer': ['C', 'D'], 'other': {'given_value': 32, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",How many legs could the doctor have tested?,"[{'A': 24}, {'B': 28}, {'C': 36}, {'D': 40}]","[36, 40]","['C', 'D']",Neeraj,"[36, 40]"
1297,non_numericalSG,chair_balance,"Ivan was standing in a queue since morning and got tired of standing. He saw a chair and decided to sit on it, but as soon as he sat on the char, he fell down",A chair balances on at least 3 legs.,"{'question_text': 'What could be the number of legs in it', 'options': [{'A': '4'}, {'B': '5'}, {'C': '1'}, {'D': '6'}], 'value_answer': ['1'], 'option_answer': ['C'], 'other': {}}",What could be the number of legs in it,"[{'A': '4'}, {'B': '5'}, {'C': '1'}, {'D': '6'}]",['1'],['C'],Sidharth,"['4', '5']"
583,attribute_comparison,pitch_and_amplitude,Ian is testing the pitch of sound waves at different frequencies as part of the physics lab exam. The pitch of the sound wave when frequency is higher is 510 Hz.,The pitch of the sound is directly proportional to the frequency of the sound.,"{'question_text': 'What could be the pitch of the other sound?', 'options': [{'A': 503}, {'B': 510}, {'C': 515}, {'D': 509}], 'value_answer': [503, 509], 'option_answer': ['A', 'D'], 'other': {'given_value': 510, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the pitch of the other sound?,"[{'A': 503}, {'B': 510}, {'C': 515}, {'D': 509}]","[503, 509]","['A', 'D']",Yamini,"[503, 510, 515]"
401,attribute_comparison,gravity_and_masses,Two asteroids have different masses and are at the same distance from Earth. Mass of the asteroid having less gravitational pull from Earth is 58 units.,Gravitational force is directly proportional to mass,"{'question_text': 'What could be the mass of the other asteroid ?', 'options': [{'A': 66}, {'B': 53}, {'C': 50}, {'D': 60}, {'E': 'None'}], 'value_answer': [66, 60], 'option_answer': ['A', 'D'], 'other': {'given_value': 58, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the mass of the other asteroid ?,"[{'A': 66}, {'B': 53}, {'C': 50}, {'D': 60}, {'E': 'None'}]","[66, 60]","['A', 'D']",Saurabh,"[66, 53, 50, 60]"
1514,non_numerical,stomach_pain_test,"Jonathan was suffering from stomach pain, and took a test that showed ulcers in his stomach.",Endoscopy is a nonsurgical procedure used to examine a person's digestive tract.,"{'question_text': 'What could be the test undertaken?', 'options': [{'A': 'Endoscopy'}, {'B': 'Colonoscopy'}, {'C': 'XRay'}, {'D': 'MRI Scan'}], 'value_answer': ['Endoscopy'], 'option_answer': ['A'], 'other': {}}",What could be the test undertaken?,"[{'A': 'Endoscopy'}, {'B': 'Colonoscopy'}, {'C': 'XRay'}, {'D': 'MRI Scan'}]",['Endoscopy'],['A'],Sivapriya,Endoscopy
1541,non_numerical,rational_and_irrational_numbers2,Charles is learning about how to calculate perimeter of a circle. He wanted to use the value of pi but the teacher told him to use quotient of 22 divided by 7. He named its quotient to be approximate pi.,"Any number that can be represented in the form of a fraction is a rational number. Irrational numbers like square root of 2,3 or pi are non recurring and non repeating decimals.","{'question_text': 'What could be the type of the numeral?', 'options': [{'A': 'irrational number'}, {'B': 'rational number'}, {'C': 'whole number'}, {'D': 'none of these'}], 'value_answer': ['rational number'], 'option_answer': ['B'], 'other': {}}",What could be the type of the numeral?,"[{'A': 'irrational number'}, {'B': 'rational number'}, {'C': 'whole number'}, {'D': 'none of these'}]",['rational number'],['B'],Himanshu,[B]
515,attribute_comparison,compressibility_and_temperature,Joshua is an employee at fire extinguisher manufacturing company. Joshua is asked to learn and observe how the compressibility factor changes at two different temperature for two identical gases. So Joshua compared the compressibility factor and temperature of both the gases to understand the same. The compressibility factor with higher temperature is 23 units.,Compressibility factor is inversely proportional to temperature at constant pressure and density of the gas.,"{'question_text': 'What could be the compressibility factor of the other gas?', 'options': [{'A': 24}, {'B': 22}, {'C': 23}, {'D': 26}], 'value_answer': [24, 26], 'option_answer': ['A', 'D'], 'other': {'given_value': 23, 'more_is_correct_flag': True, 'equal_is_correct_flag': False}}",What could be the compressibility factor of the other gas?,"[{'A': 24}, {'B': 22}, {'C': 23}, {'D': 26}]","[24, 26]","['A', 'D']",Yamini,"[22, 23, 26]"
1291,non_numerical_sg,animals_cant_fly,William went to a pet store to buy a pet. After thinking a lot he wanted a pet that could fly.,Birds can fly but animals can't fly.,"{'question_text': 'What could be the pet that he bought?', 'options': [{'A': 'cat'}, {'B': 'dog'}, {'C': 'rat'}, {'D': 'parrot'}], 'value_answer': ['parrot'], 'option_answer': ['D'], 'other': {}}",What could be the pet that he bought?,"[{'A': 'cat'}, {'B': 'dog'}, {'C': 'rat'}, {'D': 'parrot'}]",['parrot'],['D'],Sidharth,[{'D': 'parrot'}]
666,attribute_comparison,battery_time,Samuel is testing screen time of two mobiles. The mobile with higher on screen time has a battery of 6664 mAh.,Mobile on screen time is directly proportional to it's battery capacity.,"{'question_text': 'What could be the battery capacity of other device?', 'options': [{'A': 7381}, {'B': 6050}, {'C': 6942}, {'D': 7199}], 'value_answer': [6050], 'option_answer': ['B'], 'other': {'given_value': 6664, 'more_is_correct_flag': False, 'equal_is_correct_flag': False}}",What could be the battery capacity of other device?,"[{'A': 7381}, {'B': 6050}, {'C': 6942}, {'D': 7199}]",[6050],['B'],Sidharth,[7199]
248,attribute_comparison,subset_vs_set,"In a small bag, there are 115 blue balls and few green balls.",Size of set can never be smaller to the size of subset.,"{'question_text': 'How many balls could be in the bag?', 'options': [{'A': 111}, {'B': 118}, {'C': 114}, {'D': 119}, {'E': 'None'}], 'value_answer': [118, 119], 'option_answer': ['B', 'D'], 'other': {'given_value': 115, 'more_is_correct_flag': True, 'equal_is_correct_flag': True}}",How many balls could be in the bag?,"[{'A': 111}, {'B': 118}, {'C': 114}, {'D': 119}, {'E': 'None'}]","[118, 119]","['B', 'D']",Kevin,"[118, 119]"
