category,subcategory,premise,knowledge,question_text,options,correct_answers,correct_option,GPT2Pred
attribute_comparison,account_balance,Charlie has 622 dollars in his account. He wants to buy a bike.,One can not withdraw more money than the amount in their bank account,At what cost could Charlie buy the vehicle from his account?,"[{'A': 550}, {'B': 350}, {'C': 650}, {'D': 750}, {'E': 'None'}]","[550, 350]","['A', 'B']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Charlie has 622 dollars in his account. He wants to buy a bike.
Question: At what cost could Charlie buy the vehicle from his account?
Options: [{'A': 550}, {'B': 350}, {'C': 650}, {'D': 750}, {'E': 'None'}]
Result: Charlie has bought the vehicle from his account.
Question: What is the cost of buying the vehicle from his account?
Options: [{'"
attribute_comparison,account_balance,Jackson wants to buy a sports car. He has 534 dollars in his bank account.,One can not withdraw more money than the amount in their bank account,At what cost could Jackson buy the vehicle from his account?,"[{'A': 550}, {'B': 400}, {'C': 500}, {'D': 650}]","[400, 500]","['B', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Jackson wants to buy a sports car. He has 534 dollars in his bank account.
Question: At what cost could Jackson buy the vehicle from his account?
Options: [{'A': 550}, {'B': 400}, {'C': 500}, {'D': 650}]
Result: Jackson has bought the car from his account.
Question: What is the cost of the car?
Options: [{'A': $1"
attribute_comparison,account_balance,Cost of a bike is 692 dollars. William wants to buy this bike.,One can not withdraw more money than the amount in their bank account,How much money William could have to buy the vehicle from his account?,"[{'A': 500}, {'B': 600}, {'C': 800}, {'D': 450}, {'E': 'None'}]",[800],['C'],"Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Cost of a bike is 692 dollars. William wants to buy this bike.
Question: How much money William could have to buy the vehicle from his account?
Options: [{'A': 500}, {'B': 600}, {'C': 800}, {'D': 450}, {'E': 'None'}]
Result: William has to buy the vehicle from his account.
Question: How much money William could have to buy the vehicle from his account?
Options:"
attribute_comparison,account_balance,Cost of a bike is 552 dollars. Nicolas wants to buy this bike.,One can not withdraw more money than the amount in their bank account,How much money Nicolas could have to buy the vehicle from his account?,"[{'A': 750}, {'B': 500}, {'C': 450}, {'D': 550}, {'E': 'None'}]",[750],['A'],"Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Cost of a bike is 552 dollars. Nicolas wants to buy this bike.
Question: How much money Nicolas could have to buy the vehicle from his account?
Options: [{'A': 750}, {'B': 500}, {'C': 450}, {'D': 550}, {'E': 'None'}]
Result: Nicolas has to buy the vehicle from his account.
Question: How much money Nicolas could have to buy the vehicle from his account?
Options:"
attribute_comparison,age,Cole is 72 years old.,Son's age would be less than that of the father,How old could Cole's son be?,"[{'A': 47}, {'B': 22}, {'C': 97}, {'D': 72}]","[47, 22]","['A', 'B']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Cole is 72 years old.
Question: How old could Cole's son be?
Options: [{'A': 47}, {'B': 22}, {'C': 97}, {'D': 72}]
Result: Cole's son is 72 years old.
Question: How old could Cole's son be?
Options: [{'A': 47}, {"
attribute_comparison,age,Andrew is 65 years old.,Son's age would be less than that of the father,How old could Andrew's son be?,"[{'A': 15}, {'B': 65}, {'C': 40}, {'D': 90}]","[15, 40]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Andrew is 65 years old.
Question: How old could Andrew's son be?
Options: [{'A': 15}, {'B': 65}, {'C': 40}, {'D': 90}]
Result: Andrew is 65 years old.
Question: How old could Andrew's son be?
Options: [{'A': 15}, {'B"
attribute_comparison,age,Jesse is 27 years old.,Son's age would be less than that of the father,How old could Jesse's son be?,"[{'A': 50}, {'B': 25}, {'C': 0}, {'D': 75}]","[50, 75]","['A', 'D']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Jesse is 27 years old.
Question: How old could Jesse's son be?
Options: [{'A': 50}, {'B': 25}, {'C': 0}, {'D': 75}]
Result: Jesse's son is 27 years old.
Question: Jesse's son is 27 years old?
Options: [{'A': 50}, {"
attribute_comparison,age,Gabriel is 31 years old.,Son's age would be less than that of the father,How old could Gabriel's son be?,"[{'A': 75}, {'B': 0}, {'C': 50}, {'D': 25}]","[75, 50]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Gabriel is 31 years old.
Question: How old could Gabriel's son be?
Options: [{'A': 75}, {'B': 0}, {'C': 50}, {'D': 25}]
Result: Gabriel's son is 31 years old.
Question: Gabriel's son is 31 years old?
Options: [{'A': 75}, {"
attribute_comparison,age,"Abraham has a brother who is older than him, the age of his brother is 26 years old.",Elder person has more age than a younger person,How old could Abraham be?,"[{'A': 20}, {'B': 30}, {'C': 21}, {'D': 31}, {'E': 'None'}]","[20, 21]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Abraham has a brother who is older than him, the age of his brother is 26 years old.
Question: How old could Abraham be?
Options: [{'A': 20}, {'B': 30}, {'C': 21}, {'D': 31}, {'E': 'None'}]
Result: Abraham is older than his brother.
Question: How old could Abraham be?
Options: [{'A': 20}, {'B':"
attribute_comparison,age,"Bentley has a cousin who is older than him, the age of his cousin is 22 years old.",Elder person has more age than a younger person,How old could Bentley be?,"[{'A': 15}, {'B': 27}, {'C': 21}, {'D': 25}, {'E': 'None'}]","[15, 21]","['A', 'C']","Choose the correct option(s) based on Knowledge (if given) and Premise:
Premise: Bentley has a cousin who is older than him, the age of his cousin is 22 years old.
Question: How old could Bentley be?
Options: [{'A': 15}, {'B': 27}, {'C': 21}, {'D': 25}, {'E': 'None'}]
Result: Bentley is 21 years old.
Question: How old could Bentley be?
Options: [{'A': 15}, {'B': 27"
